row_label_raw,row_label_full,Công ty con,Thuế suất 10%,Miễn thuế TNDN,Giảm 50% thuế TNDN,Thuế suất 20%,numeric__Thuế suất 10%,numeric__Miễn thuế TNDN,numeric__Giảm 50% thuế TNDN,numeric__Thuế suất 20%
GLC,GLC,GLC,2013 - 2027,2013 - 2016,2017 - 2025,Từ năm 2028 trở đi,,,,
VGR,VGR,VGR,2016 - 2030,2016 - 2019,2020 - 2028,Từ năm 2031 trở đi,,,,
GIC,GIC,GIC,2017 - 2031,2017 - 2020,2021 - 2029,Từ năm 2032 trở đi,,,,
NHDV,NHDV,NHDV,Không áp dụng,2014 - 2017,2018 - 2026,Từ năm 2027 trở đi,,,,
