row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Giấy phép khai thác cảng biển VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Giấy phép khai thác cảng biển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,5.417.853.001,31.531.747.259,2.284.048.000.000,2.320.997.600.260,5417853001.0,31531747259.0,2284048000000.0,2320997600260.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,836.500.000,-,836.500.000,,836500000.0,,836500000.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,5.417.853.001,32.368.247.259,2.284.048.000.000,2.321.834.100.260,5417853001.0,32368247259.0,2284048000000.0,2321834100260.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,(24.844.667.056),(36.643.661.738),(61.488.328.794),,-24844667056.0,-36643661738.0,-61488328794.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(2.249.217.947),(80.806.195.599),(83.055.413.546),,-2249217947.0,-80806195599.0,-83055413546.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,(27.093.885.003),(117.449.857.337),(144.543.742.340),,-27093885003.0,-117449857337.0,-144543742340.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,5.417.853.001,6.687.080.203,2.247.404.338.262,2.259.509.271.466,5417853001.0,6687080203.0,2247404338262.0,2259509271466.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,5.417.853.001,5.274.362.256,2.166.598.142.663,2.177.290.357.920,5417853001.0,5274362256.0,2166598142663.0,2177290357920.0
