row_label_raw,row_label_full,col_0,Công ty Cổ phầnCảng cạnQuảng Bình- Đình VũVND,Công ty TNHHCảng Nam HảiĐình VũVND,Tổng cộngVND,numeric__Công ty Cổ phầnCảng cạnQuảng Bình- Đình VũVND,numeric__Công ty TNHHCảng Nam HảiĐình VũVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,5.294.942.838,467.194.073.731,472.489.016.569,5294942838.0,467194073731.0,472489016569.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,5.294.942.838,467.194.073.731,472.489.016.569,5294942838.0,467194073731.0,472489016569.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(1.255.069.446),(21.189.676.568),(22.444.746.014),-1255069446.0,-21189676568.0,-22444746014.0
Phân bổ trong năm(Thuyết minh 31),Giá trị khấu hao lũy kế > Phân bổ trong năm(Thuyết minh 31),Phân bổ trong năm(Thuyết minh 31),(529.494.284),(46.719.407.373),(47.248.901.657),-529494284.0,-46719407373.0,-47248901657.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(1.784.563.730),(67.909.083.941),(69.693.647.671),-1784563730.0,-67909083941.0,-69693647671.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,4.039.873.392,446.004.397.163,450.044.270.555,4039873392.0,446004397163.0,450044270555.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,3.510.379.108,399.284.989.790,402.795.368.898,3510379108.0,399284989790.0,402795368898.0
