row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2025VND,Số phát sinhtăng trong kỳVND,Số thực nộptrong kỳVND,Cần trùphải thu/phải nộpVND,Tại ngày31/12/2025VND,numeric__col_1,numeric__Tại ngày1/1/2025VND,numeric__Số phát sinhtăng trong kỳVND,numeric__Số thực nộptrong kỳVND,numeric__Cần trùphải thu/phải nộpVND,numeric__Tại ngày31/12/2025VND
(a),(a),(a),Thuế GTGT được khấu trừThuế GTGT được khấu trừ,35.639.643.041,121.466.433.150,-,(111.604.913.660),45.501.162.531,,35639643041.0,121466433150.0,,-111604913660.0,45501162531.0
(b),(b),(b),Thuế và các khoản khác phải thu Nhà nướcThuế thu nhập cá nhânThuế TNDNThuế đất,224.845.5912.572.438.151117.159.414,----,----,(131.665.180)(2.572.438.151)(55.716.831),93.180.411----61.442.583,,2.248455912572438e+27,,,,
(b),(b),(b),Thuế và các khoản khác phải thu Nhà nướcThuế thu nhập cá nhânThuế TNDNThuế đất,2.914.443.156,----,----,(2.759.820.162),154.622.994,,2914443156.0,,,-2759820162.0,154622994.0
(c),(c),(c),Phải nộpThuế GTGT đầu raThuế thu nhập cá nhânThuế TNDNThuế đấtThuế và các khoản phải nộp Nhà nước khác,4.238.320.5418.119.850.77434.710.371.835---571.337,197.144.367.69332.408.534.030182.819.255.1436.472.350.8026.577.583.181,(78.475.080.664)(30.102.658.632)(103.643.120.623)(6.416.633.971)(6.577.583.181),(111.604.913.660)(131.665.180)(2.572.438.151)(55.716.831)-,11.302.693.91010.294.060.992111.314.068.204----571.337,,,1.971443676933241e+54,,,
(c),(c),(c),Phải nộpThuế GTGT đầu raThuế thu nhập cá nhânThuế TNDNThuế đấtThuế và các khoản phải nộp Nhà nước khác,47.069.114.487,425.422.090.849,(225.215.077.071),(111.604.913.660)(131.665.180)(2.572.438.151)(55.716.831)-,(114.364.733.822),,47069114487.0,425422090849.0,-225215077071.0,,-114364733822.0
