row_label_raw,row_label_full,Bà Đoàn Thị Lan Anh > Ông Nguyễn Đức Thành > Ông Trương Lý Thế Anh > Bà Ngô Thị Thùy Lương,Trường ban(từ ngày 25/4/2025) > Trường ban(đến ngày 25/4/2025) > Trường ban(đến ngày 10/6/2024) > Thành viên(đến ngày 25/4/2025),720.000.000 > 1.860.055.569 > - > 50.000.000,- > 1.016.737.501 > 957.502.000 > 527.144.300,numeric__Trường ban(từ ngày 25/4/2025) > Trường ban(đến ngày 25/4/2025) > Trường ban(đến ngày 10/6/2024) > Thành viên(đến ngày 25/4/2025),numeric__720.000.000 > 1.860.055.569 > - > 50.000.000,numeric__- > 1.016.737.501 > 957.502.000 > 527.144.300
Bà Nghiêm Thị Thùy Dương,Bà Nghiêm Thị Thùy Dương,Bà Nghiêm Thị Thùy Dương,Thành viên,1.290.654.745,1.523.610.599,,1290654745.0,1523610599.0
Bà Phan Thị Trung Hiếu,Bà Phan Thị Trung Hiếu,Bà Phan Thị Trung Hiếu,Thành viên(từ ngày 25/4/2025),697.148.345,-,,697148345.0,
