row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,10.966.646,85.724.272,(74.757.626),11.195.863,10966646.0,85724272.0,-74757626.0,11195863.0
,,,10.966.646,85.724.272,(74.757.626),11.195.863,10966646.0,85724272.0,-74757626.0,11195863.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,510.611.231,583.360.502,(72.749.271),-,510611231.0,583360502.0,-72749271.0,
Dự phòng các khoản đầu tư,Thuế TNDN hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,-,141.070.733,(141.070.733),30.809.890,,141070733.0,-141070733.0,30809890.0
Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,Chi phí lãi vay vốn hóa trên khía cạnh hợp nhất,-,120.036.134,(120.036.134),8.824.572,,120036134.0,-120036134.0,8824572.0
,,,510.611.231,844.467.369,(333.856.138),39.634.462,510611231.0,844467369.0,-333856138.0,39634462.0
(Thu nhập)/chi phí thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > (Thu nhập)/chi phí thuế TNDN hoãn lại,(Thu nhập)/chi phí thuế TNDN hoãn lại,(Thu nhập)/chi phí thuế TNDN hoãn lại,(Thu nhập)/chi phí thuế TNDN hoãn lại,(259.098.512),28.438.599,,,-259098512.0,28438599.0
