row_label_raw,row_label_full,col_0,Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con,Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con_1,Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con_2,numeric__Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con,numeric__Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con_1,numeric__Ngàn VNDLợi thế thương mại phát sinh từ mua các công ty con_2
,,,Công ty Cổ phầnBò sữa Tây Nguyên,Hưng Thắng Lợi,Tổng cộng,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,54.979.339,1.072.826.621,1.127.805.960,54979339.0,1072826621.0,1127805960.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(54.979.339),-,(54.979.339),-54979339.0,,-54979339.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,1.072.826.621,1.072.826.621,,1072826621.0,1072826621.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,(31.053.205),(471.130.324),(502.183.529),-31053205.0,-471130324.0,-502183529.0
Phân bổ trong năm,Giá trị hao mòn luỹ kế > Phân bổ trong năm,Phân bổ trong năm,-,(601.696.297),(601.696.297),,-601696297.0,-601696297.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,31.053.205,-,31.053.205,31053205.0,,31053205.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,-,(1.072.826.621),(1.072.826.621),,-1072826621.0,-1072826621.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,23.926.134,601.696.297,625.622.431,23926134.0,601696297.0,625622431.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
