row_label_raw,row_label_full,Số đầu năm > Cộng:,Số đầu năm > Dự phòng trích lập trong năm,Năm nay > 47.861.216 > 42.126.541,Ngàn VNDNăm trước > 93.608.502 > 22.912.930,numeric__Số đầu năm > Dự phòng trích lập trong năm,numeric__Năm nay > 47.861.216 > 42.126.541,numeric__Ngàn VNDNăm trước > 93.608.502 > 22.912.930
Trừ:,Trừ:,Trừ:,Giảm do mua công ty con,-,(65.165.581),,,-65165581.0
Trừ:,Trừ:,Trừ:,Hoàn nhập dự phòng trong năm,(6.867.281),(3.494.635),,-6867281.0,-3494635.0
Trừ:,Trừ:,Trừ:,Giảm do thanh lý công ty con,(16.368.434),-,,-16368434.0,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,66.752.042,47.861.216,,66752042.0,47861216.0
