row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),(424.458.674),281.668.774,(4.766.207.329),7.628.854.385,9274679470.0,3263858784.0,-686640.0,-424458674.0,281668774.0,-4766207329.0,7628854385.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(1.255.661.344),(1.255.661.344),,,,,,-1255661344.0,-1255661344.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(1.067.799.291),-,-,(1.067.799.291),,,,-1067799291.0,,,-1067799291.0
"Thù lao HĐQT, BKS và thư ký","Năm trước > Thù lao HĐQT, BKS và thư ký","Thù lao HĐQT, BKS và thư ký",-,-,-,-,-,(483.512),(483.512),,,,,,-483512.0,-483512.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,741.925,(741.925),-,,,,,741925.0,-741925.0,
Phân chia lợi nhuận của công ty con,Năm trước > Phân chia lợi nhuận của công ty con,Phân chia lợi nhuận của công ty con,-,-,-,-,-,(2.228.668),(2.228.668),,,,,,-2228668.0,-2228668.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm trước > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,(276.340.059),(276.340.059),,,,,,-276340059.0,-276340059.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,52.121.703,-,-,52.121.703,,,,52121703.0,,,52121703.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),(1.440.136.262),282.410.699,(6.301.662.837),5.078.463.214,9274679470.0,3263858784.0,-686640.0,-1440136262.0,282410699.0,-6301662837.0,5078463214.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),(1.440.136.262),282.410.699,(6.301.662.837),5.078.463.214,9274679470.0,3263858784.0,-686640.0,-1440136262.0,282410699.0,-6301662837.0,5078463214.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,203.030.161,203.030.161,,,,,,203030161.0,203030161.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(415.520.163),-,-,(415.520.163),,,,-415520163.0,,,-415520163.0
Chi thủ lao HĐQT và Ban Giám đốc,Năm nay > Chi thủ lao HĐQT và Ban Giám đốc,Chi thủ lao HĐQT và Ban Giám đốc,-,-,-,-,-,(1.485.000),(1.485.000),,,,,,-1485000.0,-1485000.0
Sử dụng thẳng dư vốn để cản trừ lỗ lũy kế (i),Năm nay > Sử dụng thẳng dư vốn để cản trừ lỗ lũy kế (i),Sử dụng thẳng dư vốn để cản trừ lỗ lũy kế (i),-,(3.263.858.784),-,-,-,3.263.858.784,-,,-3263858784.0,,,,3263858784.0,
"Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (TM số 4.1, 4.2 và 4.3)","Năm nay > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (TM số 4.1, 4.2 và 4.3)","Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (TM số 4.1, 4.2 và 4.3)",-,-,-,-,-,(617.676.247),(617.676.247),,,,,,-617676247.0,-617676247.0
Thanh lý công ty con,Năm nay > Thanh lý công ty con,Thanh lý công ty con,-,-,-,1.253.037.089,-,(1.013.165.414),239.871.675,,,,1253037089.0,,-1013165414.0,239871675.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,-,(686.640),(602.619.336),282.410.699,(4.467.100.553),4.486.683.640,9274679470.0,,-686640.0,-602619336.0,282410699.0,-4467100553.0,4486683640.0
