row_label_raw,row_label_full,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,10.673.489,23.253.451,numeric__Công ty liên quan,numeric__Ứng trước mua hàng hóa và dịch vụ,numeric__10.673.489,numeric__23.253.451
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,1.652.520,-,,,1652520.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,247.218,-,,,247218.0,
,,,,,12.573.227,23.253.451,,,12573227.0,23253451.0
