row_label_raw,row_label_full,Tên ngân hàng,Số tiền (Ngàn VND),Ngày đáo hạn cuối cùng,Lãi suất (%/năm),"Tài sản thế chấp (TM số 10, 11, 12 và 14)",numeric__Số tiền (Ngàn VND),numeric__Ngày đáo hạn cuối cùng,numeric__Lãi suất (%/năm),"numeric__Tài sản thế chấp (TM số 10, 11, 12 và 14)"
Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,Eximbank,,,,
Khoản vay ngày 15 tháng 8 năm 2014 (*),Eximbank > Khoản vay ngày 15 tháng 8 năm 2014 (*),Khoản vay ngày 15 tháng 8 năm 2014 (*),413.840.471,Ngày 31 tháng 12 năm 2024,"11,50","Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích 957 ha (7 bìa đồ) thuộc sở hữu của Công ty Cổ phần Chăn Nuôi Gia Lai;Phương tiện vận tải, máy móc thiết bị và tài sản khác hình thành tử vốn vay.",413840471.0,,11.5,
Khoản vay ngày 23 tháng 9 năm 2014 (*),Eximbank > Khoản vay ngày 23 tháng 9 năm 2014 (*),Khoản vay ngày 23 tháng 9 năm 2014 (*),223.949.781,Ngày 31 tháng 12 năm 2024,"11,50","Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích 957 ha (7 bìa đồ) thuộc sở hữu của Công ty Cổ phần Chăn Nuôi Gia Lai;Phương tiện vận tải, máy móc thiết bị và tài sản khác hình thành tử vốn vay.",223949781.0,,11.5,
TỔNG CỘNG,Eximbank > TỔNG CỘNG,TỔNG CỘNG,637.790.252,,,,637790252.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,308.300.000,,,,308300000.0,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,329.490.252,,,,329490252.0,,,
