row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm,Năm nay > 75.146.986 > 3.703.405,Ngân VNDNăm trước > 21.572.100 > 65.003.415,numeric__Năm nay > 75.146.986 > 3.703.405,numeric__Ngân VNDNăm trước > 21.572.100 > 65.003.415
Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,(75.146.986),-,-75146986.0,
Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,Trừ: Hoàn nhập dự phòng trong năm,-,(11.428.529),,-11428529.0
Số cuối năm,Số cuối năm,Số cuối năm,3.703.405,75.146.986,3703405.0,75146986.0
