row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,129.190.217,94.404.315,129190217.0,94404315.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty TNHH Sản xuất Bột Mì,Trong đó: > - Công ty TNHH Sản xuất Bột Mì,- Công ty TNHH Sản xuất Bột Mì,62.098.512,7.055.503,62098512.0,7055503.0
- Công ty TNHH T.B.Y.B Angkor Banana,Trong đó: > - Công ty TNHH T.B.Y.B Angkor Banana,- Công ty TNHH T.B.Y.B Angkor Banana,19.609.076,19.609.076,19609076.0,19609076.0
- Công ty TNHH MTV Thương mại Thành An,Trong đó: > - Công ty TNHH MTV Thương mại Thành An,- Công ty TNHH MTV Thương mại Thành An,-,12.919.700,,12919700.0
- Các nhà cung cấp khác,Trong đó: > - Các nhà cung cấp khác,- Các nhà cung cấp khác,47.482.629,54.820.036,47482629.0,54820036.0
Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,Trong đó: > Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,17.900.256,14.241.176,17900256.0,14241176.0
Trả trước cho người bán khác,Trong đó: > Trả trước cho người bán khác,Trả trước cho người bán khác,-,497.855,,497855.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,147.090.473,109.143.346,147090473.0,109143346.0
Dự phòng trả trước cho người bán ngắn hạn khó đòi,Trong đó: > Dự phòng trả trước cho người bán ngắn hạn khó đòi,Dự phòng trả trước cho người bán ngắn hạn khó đòi,(9.804.538),(24.753.411),-9804538.0,-24753411.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,137.285.935,84.389.935,137285935.0,84389935.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước các bên thứ ba,Trong đó: > Trả trước các bên thứ ba,Trả trước các bên thứ ba,134.517.246,85.889.895,134517246.0,85889895.0
Trả trước các bên liên quan (TM số 34),Trong đó: > Trả trước các bên liên quan (TM số 34),Trả trước các bên liên quan (TM số 34),12.573.227,23.253.451,12573227.0,23253451.0
