row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.208.058.651,231.786.705,48.975.262,687.825.338,3.176.645.956,2208058651.0,231786705.0,48975262.0,687825338.0,3176645956.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,166.860.532,690.716.762,914.742.077,-,1.772.319.371,166860532.0,690716762.0,914742077.0,,1772319371.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,16.349.124.058,13.401.401.402,7.151.949.028,-,36.902.474.488,16349124058.0,13401401402.0,7151949028.0,,36902474488.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,97.151.198,,,,,97151198.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,266.193.865,,,,,266193865.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,37.265.819.551,,,,,37265819551.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.130.544.964,620.339.519,-,346.533.883,2.097.418.366,1130544964.0,620339519.0,,346533883.0,2097418366.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,690.730.524,245.779.318,-,-,936.509.842,690730524.0,245779318.0,,,936509842.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,14.380.934.619,3.980.452.335,-,-,18.361.386.954,14380934619.0,3980452335.0,,,18361386954.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,78.298.037,,,,,78298037.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,18.439.684.991,,,,,18439684991.0
