row_label_raw,row_label_full,Tổ chức thu xếp phát hành > TPBank > ACBS,Trái chủ > Ngân hàngThương mạiCổ phần TiênPhong > Công ty TNHHDịch vụ Nông nghiệp TâyNguyên,Số tiền(Ngàn VND) > 300.000.000,"Lãi suất (%/năm) > Lãi suất áp dụng cho 6 thángđầu tiên kể từ Ngày phát hànhlà 10,00%/năm. Lãi suất điều chỉnh bằng tổng lãi suất tiền gửi tiết kiệm cá nhân cao nhấtkỳ hạn mười hai (12) tháng của Ngân hàng TMCP TiênPhong cộng với biên độ 3,50(2021: 9,45 - 10,00) > Lãi suất tiền gửi kỳ hạn mười ba (13) tháng cửa Ngân hàng TMCP Tiên Phong cộng với biên độ 4,50 (2021: 10,00)",Ngày đáo hạncuối cùng > Ngày 28 tháng10 năm 2024 > Ngày 18 tháng6 năm 2023,Mục đích > Thực hiện các dự án đầu tư của Tập đoàn > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,"Tài sản thế chấp(TM số 9, 11, 12, 14 và 16) > 50.000.000 cổ phiếu HAG thuộc quyền sở hữu của Ông ĐoànNguyên Đức;Tải sản gắn liền với đất nằm trên thừa đất có số Giấy chứng nhận BY 440741 thuộc sở hữu của Công ty Cổ phần Chăn nuôi Gia Lai;14.000.000 cổ phiếu HAG thuộc sở hữu của Ông Nguyễn Văn Quý;vàQuyền tài sản phát sinh từ Hợp đồng 0809/2020/HTDTKD/HTGL-LEME giữa Hưng Thắng Lợi và Công ty Cổ phần Le Me > 40.000.000 cổ phiếu HNG thuộc sở hữu của Công ty.",numeric__Trái chủ > Ngân hàngThương mạiCổ phần TiênPhong > Công ty TNHHDịch vụ Nông nghiệp TâyNguyên,numeric__Số tiền(Ngàn VND) > 300.000.000,"numeric__Lãi suất (%/năm) > Lãi suất áp dụng cho 6 thángđầu tiên kể từ Ngày phát hànhlà 10,00%/năm. Lãi suất điều chỉnh bằng tổng lãi suất tiền gửi tiết kiệm cá nhân cao nhấtkỳ hạn mười hai (12) tháng của Ngân hàng TMCP TiênPhong cộng với biên độ 3,50(2021: 9,45 - 10,00) > Lãi suất tiền gửi kỳ hạn mười ba (13) tháng cửa Ngân hàng TMCP Tiên Phong cộng với biên độ 4,50 (2021: 10,00)",numeric__Ngày đáo hạncuối cùng > Ngày 28 tháng10 năm 2024 > Ngày 18 tháng6 năm 2023,numeric__Mục đích > Thực hiện các dự án đầu tư của Tập đoàn > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,"numeric__Tài sản thế chấp(TM số 9, 11, 12, 14 và 16) > 50.000.000 cổ phiếu HAG thuộc quyền sở hữu của Ông ĐoànNguyên Đức;Tải sản gắn liền với đất nằm trên thừa đất có số Giấy chứng nhận BY 440741 thuộc sở hữu của Công ty Cổ phần Chăn nuôi Gia Lai;14.000.000 cổ phiếu HAG thuộc sở hữu của Ông Nguyễn Văn Quý;vàQuyền tài sản phát sinh từ Hợp đồng 0809/2020/HTDTKD/HTGL-LEME giữa Hưng Thắng Lợi và Công ty Cổ phần Le Me > 40.000.000 cổ phiếu HNG thuộc sở hữu của Công ty."
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(1.984.736),,,,,,-1984736.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,598.015.264,,,,,,598015264.0,,,,
Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,498.582.45299.432.812,,,,,,4.985824529943282e+16,,,,
