row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Lãi tiền cho vay,Lãi tiền cho vay,Lãi tiền cho vay,490.847.799,567.798.415,490847799.0,567798415.0
Lãi từ thanh lý các khoản đầu tư (TM số 4.1),Lãi từ thanh lý các khoản đầu tư (TM số 4.1),Lãi từ thanh lý các khoản đầu tư (TM số 4.1),240.752.906,660.318.317,240752906.0,660318317.0
Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,1.736.874,58.063.704,1736874.0,58063704.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,1.488.773,1.162.595,1488773.0,1162595.0
Thu nhập cổ tức,Thu nhập cổ tức,Thu nhập cổ tức,79.956,-,79956.0,
Khác,Khác,Khác,172.304,20.634,172304.0,20634.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,735.078.612,1.287.363.665,735078612.0,1287363665.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan (TM số 34),Trong đó: > Doanh thu với các bên liên quan (TM số 34),Doanh thu với các bên liên quan (TM số 34),469.372.866,554.388.542,469372866.0,554388542.0
Doanh thu với các bên thứ ba,Trong đó: > Doanh thu với các bên thứ ba,Doanh thu với các bên thứ ba,265.705.746,732.975.123,265705746.0,732975123.0
