row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,256.354.007,149.701.808,256354007.0,149701808.0
Cho các công ty mượn,Ngắn hạn > Cho các công ty mượn,Cho các công ty mượn,489.961.800,340.705.172,489961800.0,340705172.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,34.676.282,56.520.295,34676282.0,56520295.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,4.580.609,16.811.314,4580609.0,16811314.0
,,,785.572.698,563.738.589,785572698.0,563738589.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Dài hạn > Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)","Phải thu Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"") (*)",440.000.000,440.000.000,440000000.0,440000000.0
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,206.136.867,71.044.947,206136867.0,71044947.0
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,3.408.754,3.870.352,3408754.0,3870352.0
,,,649.545.621,514.915.299,649545621.0,514915299.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.435.118.319,1.078.653.888,1435118319.0,1078653888.0
Dự phòng phải thu khác khó đòi,Dài hạn > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(141.973.642),(148.514.610),-141973642.0,-148514610.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.293.144.677,930.139.278,1293144677.0,930139278.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn các bên liên quan (TM số 34),Trong đó: > Phải thu dài hạn các bên liên quan (TM số 34),Phải thu dài hạn các bên liên quan (TM số 34),639.457.496,489.633.305,639457496.0,489633305.0
Phải thu ngắn hạn các bên liên quan (TM số 34),Trong đó: > Phải thu ngắn hạn các bên liên quan (TM số 34),Phải thu ngắn hạn các bên liên quan (TM số 34),480.605.940,201.218.629,480605940.0,201218629.0
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,315.054.883,387.801.954,315054883.0,387801954.0
