row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Hoàn nhập dự phòng trong năm,Năm nay > 24.753.411 > 9.804.538 > (23.253.451),Ngàn VNDNăm trước > 2.299.803 > 24.753.411 > -,numeric__Năm nay > 24.753.411 > 9.804.538 > (23.253.451),numeric__Ngàn VNDNăm trước > 2.299.803 > 24.753.411 > -
Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,Trừ: Giảm do thanh lý công ty con,(1.499.960),-,-1499960.0,
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,-,(2.299.803),,-2299803.0
Số cuối năm,Số cuối năm,Số cuối năm,9.804.538,24.753.411,9804538.0,24753411.0
