row_label_raw,row_label_full,col_0,Giá trị,Số cuối nămVNDSố có khả năng trả nợ,Giá trị_1,Số đầu nămVNDSố có khả năng trả nợ,numeric__Giá trị,numeric__Số cuối nămVNDSố có khả năng trả nợ,numeric__Giá trị_1,numeric__Số đầu nămVNDSố có khả năng trả nợ
a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,a) Các khoản phải trả người bán,,,,
Công ty Cố phân Văn tài Hàng hải Quốc Việt,a) Các khoản phải trả người bán > Công ty Cố phân Văn tài Hàng hải Quốc Việt,Công ty Cố phân Văn tài Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0,10009543285.0,10009543285.0
Wallem Ship Management Ltd,a) Các khoản phải trả người bán > Wallem Ship Management Ltd,Wallem Ship Management Ltd,11.955.552.412,11.955.552.412,11.777.189.629,11.777.189.629,11955552412.0,11955552412.0,11777189629.0,11777189629.0
Các đôi tượng khác,a) Các khoản phải trả người bán > Các đôi tượng khác,Các đôi tượng khác,71.556.090.366,71.556.090.366,77.235.421.507,77.235.421.507,71556090366.0,71556090366.0,77235421507.0,77235421507.0
b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,b) PháI trả người bán là các bên liên quan,,,,
Công ty Cố phân Văn tài Dầu khí Thái Bình Dương,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Văn tài Dầu khí Thái Bình Dương,Công ty Cố phân Văn tài Dầu khí Thái Bình Dương,178.974.098.210,178.974.098.210,339.066.200.467,339.066.200.467,178974098210.0,178974098210.0,339066200467.0,339066200467.0
Tập đoàn Dầu khí Quốc gia Việt Nam (mua tài sản cố định),b) PháI trả người bán là các bên liên quan > Tập đoàn Dầu khí Quốc gia Việt Nam (mua tài sản cố định),Tập đoàn Dầu khí Quốc gia Việt Nam (mua tài sản cố định),28.861.392.000,28.861.392.000,189.660.576.000,189.660.576.000,28861392000.0,28861392000.0,189660576000.0,189660576000.0
Tập đoàn Dầu khí Quốc gia Việt Nam (phí quản lý),b) PháI trả người bán là các bên liên quan > Tập đoàn Dầu khí Quốc gia Việt Nam (phí quản lý),Tập đoàn Dầu khí Quốc gia Việt Nam (phí quản lý),1.930.078.706,1.930.078.706,-,-,1930078706.0,1930078706.0,,
Công ty Cố phân Văn tài Xăng dầu Phương Nam,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Văn tài Xăng dầu Phương Nam,Công ty Cố phân Văn tài Xăng dầu Phương Nam,12.285.054.390,12.285.054.390,18.438.564.062,18.438.564.062,12285054390.0,12285054390.0,18438564062.0,18438564062.0
Công ty Cố phân Văn tài Dầu khí Hà Nội,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Văn tài Dầu khí Hà Nội,Công ty Cố phân Văn tài Dầu khí Hà Nội,5.179.531.134,5.179.531.134,386.643.430,386.643.430,5179531134.0,5179531134.0,386643430.0,386643430.0
Công ty TNHHI MTV Công nghiệp Tàu thủy Dung Quế,b) PháI trả người bán là các bên liên quan > Công ty TNHHI MTV Công nghiệp Tàu thủy Dung Quế,Công ty TNHHI MTV Công nghiệp Tàu thủy Dung Quế,4.743.142.105,4.743.142.105,33.760.239.732,33.760.239.732,4743142105.0,4743142105.0,33760239732.0,33760239732.0
Công ty Cố phân Dịch vụ Tổng hợp Dầu khí Vùng Tàu,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Dịch vụ Tổng hợp Dầu khí Vùng Tàu,Công ty Cố phân Dịch vụ Tổng hợp Dầu khí Vùng Tàu,1.329.457.468,1.329.457.468,2.147.865.635,2.147.865.635,1329457468.0,1329457468.0,2147865635.0,2147865635.0
Công ty Cố phân Đào tạo Ký thuật PVD,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Đào tạo Ký thuật PVD,Công ty Cố phân Đào tạo Ký thuật PVD,1.011.902.864,1.011.902.864,669.918.627,669.918.627,1011902864.0,1011902864.0,669918627.0,669918627.0
Công ty Cố phân Văn tài Dầu khí Quảng Ngãi,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Văn tài Dầu khí Quảng Ngãi,Công ty Cố phân Văn tài Dầu khí Quảng Ngãi,414.854.600,414.854.600,630.507.350,630.507.350,414854600.0,414854600.0,630507350.0,630507350.0
Công ty Cố phân Dầu nhôn PV Oil,b) PháI trả người bán là các bên liên quan > Công ty Cố phân Dầu nhôn PV Oil,Công ty Cố phân Dầu nhôn PV Oil,399.135.000,399.135.000,-,-,399135000.0,399135000.0,,
