row_label_raw,row_label_full,col_0,Tài sản,Tài sản_1,Công nd,Công nd_1,numeric__Tài sản,numeric__Tài sản_1,numeric__Công nd,numeric__Công nd_1
,,,Số cuối nămVND,Số đầu nămVND,Số cuối nămVND,Số đầu nămVND,,,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),1.118.526.296.061,1.345.616.583.373,1.119.541.511.832,1.375.065.799.974,1118526296061.0,1345616583373.0,1119541511832.0,1375065799974.0
Euro (EUR),Euro (EUR),Euro (EUR),8.914.908,9.452.141,-,7.288.949,8914908.0,9452141.0,,7288949.0
Bảng Anh (GBP),Bảng Anh (GBP),Bảng Anh (GBP),-,-,-,643.189.573,,,,643189573.0
Đô la Singapore (SGD),Đô la Singapore (SGD),Đô la Singapore (SGD),-,-,-,572.937.957,,,,572937957.0
Yên Nhật (JPY),Yên Nhật (JPY),Yên Nhật (JPY),-,-,-,756.263.097,,,,756263097.0
