row_label_raw,row_label_full,31/12/2016,Dịch vụ vận tải VND,Dịch vụ hàng hải đầu khí VND,Thuống mại VND,Dịch vụ khác VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải đầu khí VND,numeric__Thuống mại VND,numeric__Dịch vụ khác VND,numeric__Tổng VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.815.682.407.426,208.002.156.876,6.747.730.306,297.363.630.982,3.327.795.925.590,2815682407426.0,208002156876.0,6747730306.0,297363630982.0,3327795925590.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.177.444.206.964,,,,,3177444206964.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,6.505.240.132.554,,,,,6505240132554.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.489.013.075.523,99.671.518.397,229.871.782,383.791.705.571,1.972.706.171.273,1489013075523.0,99671518397.0,229871782.0,383791705571.0,1972706171273.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,1.163.209.305.877,,,,,1163209305877.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,3.135.915.477.150,,,,,3135915477150.0
