row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,2.191.669.191.504,2.452.480.650.974,100.0,,2191669191504.0,2452480650974.0
I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,I. Tiên và các khoản tương đương tiền,110,5,484.359.794.468,1.566.372.095.001,110.0,5.0,484359794468.0,1566372095001.0
1. Tiền,1. Tiền,1. Tiền,111,,97.359.794.468,128.172.095.001,111.0,,97359794468.0,128172095001.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,387.000.000.000,1.438.200.000.000,112.0,,387000000000.0,1438200000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,993.419.013.699,-,120.0,,993419013699.0,
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,6,993.419.013.699,-,123.0,6.0,993419013699.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,654.788.579.044,829.463.541.999,130.0,,654788579044.0,829463541999.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,366.433.692.204,448.124.903.588,131.0,7.0,366433692204.0,448124903588.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,807.754.102,304.951.319,132.0,,807754102.0,304951319.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,305.638.359.738,400.239.154.266,136.0,8.0,305638359738.0,400239154266.0
