row_label_raw,row_label_full,Năm nay,Dịch vụ vận tải VND,Dịch vụ hàng hải đầu khí VND,Thường mại VND,Dịch vụ khác VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải đầu khí VND,numeric__Thường mại VND,numeric__Dịch vụ khác VND,numeric__Tổng VND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.277.641.084.125,662.430.431.871,36.020.893.467,391.036.910.787,2.367.129.320.250,1277641084125.0,662430431871.0,36020893467.0,391036910787.0,2367129320250.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.277.641.084.125,662.430.431.871,36.020.893.467,391.036.910.787,2.367.129.320.250,1277641084125.0,662430431871.0,36020893467.0,391036910787.0,2367129320250.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,284.000.214.137,46.402.121.811,1.010.770.699,13.088.746.564,344.501.853.211,284000214137.0,46402121811.0,1010770699.0,13088746564.0,344501853211.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(60.863.215.062),,,,,-60863215062.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,283.638.638.149,,,,,283638638149.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,147.366.301.209,,,,,147366301209.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,9.455.126.799,,,,,9455126799.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,2.827.234.448,,,,,2827234448.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,443.287.300.605,,,,,443287300605.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(85.821.570.001),,,,,-85821570001.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,8.039.327.435,,,,,8039327435.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,365.505.058.039,,,,,365505058039.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,114.314.738.208,,,,,114314738208.0
