row_label_raw,row_label_full,31/12/2016,Dưới 1 nămVND > 31/12/2016,Từ 1 đến 5 nămVND > 31/12/2016,Trên 5 nămVND > 31/12/2016,TổngVND > 31/12/2016,numeric__Dưới 1 nămVND > 31/12/2016,numeric__Từ 1 đến 5 nămVND > 31/12/2016,numeric__Trên 5 nămVND > 31/12/2016,numeric__TổngVND > 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,484.359.794.468,-,-,484.359.794.468,484359794468.0,,,484359794468.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,653.566.963.232,1.137.605.550.976,237.550.725.741,2.028.723.239.949,653566963232.0,1137605550976.0,237550725741.0,2028723239949.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,993.419.013.699,-,45.937.767.300,1.039.356.780.999,993419013699.0,,45937767300.0,1039356780999.0
Tổng cộng,Tổng cộng,Tổng cộng,2.131.345.771.399,1.137.605.550.976,283.488.493.041,3.552.439.815.416,2131345771399.0,1137605550976.0,283488493041.0,3552439815416.0
31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,31/12/2016,,,,
Các khoản vay,31/12/2016 > Các khoản vay,Các khoản vay,309.923.020.687,1.238.659.650.376,420.532.070.442,1.969.114.741.505,309923020687.0,1238659650376.0,420532070442.0,1969114741505.0
Phải trả người bán và phải trả khác,31/12/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,466.022.991.591,115.445.568.000,232.029.744.000,813.498.303.591,466022991591.0,115445568000.0,232029744000.0,813498303591.0
Chi phí phải trả,31/12/2016 > Chi phí phải trả,Chi phí phải trả,13.628.728.507,4.739.131.730,-,18.367.860.237,13628728507.0,4739131730.0,,18367860237.0
Tổng cộng,31/12/2016 > Tổng cộng,Tổng cộng,789.574.740.785,1.358.844.350.106,652.561.814.442,2.800.980.905.333,789574740785.0,1358844350106.0,652561814442.0,2800980905333.0
Chênh lệch thanh khoản thuần,31/12/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.341.771.030.614,(221.238.799.130),(369.073.321.401),751.458.910.083,1341771030614.0,-221238799130.0,-369073321401.0,751458910083.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,,
Tiền và các khoản tương đương tiền,31/12/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.566.372.095.001,-,-,1.566.372.095.001,1566372095001.0,,,1566372095001.0
Phải thu khách hàng và phải thu khác,31/12/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,828.118.172.994,1.345.306.570.769,305.463.144.268,2.478.887.888.031,828118172994.0,1345306570769.0,305463144268.0,2478887888031.0
Đầu tư tài chính,31/12/2015 > Đầu tư tài chính,Đầu tư tài chính,-,-,45.937.767.300,45.937.767.300,,,45937767300.0,45937767300.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,2.394.490.267.995,1.345.306.570.769,351.400.911.568,4.091.197.750.332,2394490267995.0,1345306570769.0,351400911568.0,4091197750332.0
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,,
Các khoản vay,31/12/2015 > Các khoản vay,Các khoản vay,535.426.470.525,1.441.620.178.076,514.584.681.069,2.491.631.329.670,535426470525.0,1441620178076.0,514584681069.0,2491631329670.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,708.255.749.964,115.445.568.000,260.891.136.000,1.084.592.453.964,708255749964.0,115445568000.0,260891136000.0,1084592453964.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,10.943.202.365,4.668.429.461,-,15.611.631.826,10943202365.0,4668429461.0,,15611631826.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,1.254.625.422.854,1.561.734.175.537,775.475.817.069,3.591.835.415.460,1254625422854.0,1561734175537.0,775475817069.0,3591835415460.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.139.864.845.141,(216.427.604.768),(424.074.905.501),499.362.334.872,1139864845141.0,-216427604768.0,-424074905501.0,499362334872.0
