row_label_raw,row_label_full,col_0,Giá trị ghi sõ > Số cuối năm VND,Giá trị ghi sõ > Số đầu năm VND,numeric__Giá trị ghi sõ > Số cuối năm VND,numeric__Giá trị ghi sõ > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,484.359.794.468,1.566.372.095.001,484359794468.0,1566372095001.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.028.723.239.949,2.478.887.888.031,2028723239949.0,2478887888031.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.039.356.780.999,45.937.767.300,1039356780999.0,45937767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.552.439.815.416,4.091.197.750.332,3552439815416.0,4091197750332.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay,Cộng nợ tài chính > Các khoản vay,Các khoản vay,1.969.114.741.505,2.491.631.329.670,1969114741505.0,2491631329670.0
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,813.498.303.591,1.084.592.453.964,813498303591.0,1084592453964.0
Chỉ phí phải trả,Cộng nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,18.367.860.237,15.611.631.826,18367860237.0,15611631826.0
Tổng cộng,Cộng nợ tài chính > Tổng cộng,Tổng cộng,2.800.980.905.333,3.591.835.415.460,2800980905333.0,3591835415460.0
