row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
"Tập đoàn Đầu khí Quốc gia Việt Nam (gọi tắt là ""PVN"")","Tập đoàn Đầu khí Quốc gia Việt Nam (gọi tắt là ""PVN"")","Tập đoàn Đầu khí Quốc gia Việt Nam (gọi tắt là ""PVN"")",Công ty mẹ,
Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Công ty Cổ phần Vận tải Sản phẩm khí Quốc tế,Công ty con,
Công ty Cổ phần Vận tải Dầu khí Hà Nội,Công ty Cổ phần Vận tải Dầu khí Hà Nội,Công ty Cổ phần Vận tải Dầu khí Hà Nội,Công ty con,
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty con,
Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Công ty con,
Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty con,
Công ty Cổ phần Vận tải Dầu Phương Đông Việt,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,Công ty con,
Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty con,
Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty con,
Công ty Cổ phần Vận tải Nhật Việt,Công ty Cổ phần Vận tải Nhật Việt,Công ty Cổ phần Vận tải Nhật Việt,Công ty con từ ngày 01 tháng 7 năm 2016,
Công ty Cổ phần Dịch vụ Vận tải Dầu khí Cửu Long,Công ty Cổ phần Dịch vụ Vận tải Dầu khí Cửu Long,Công ty Cổ phần Dịch vụ Vận tải Dầu khí Cửu Long,Chuyển thành công ty liên kết từ ngày 14 tháng 7 năm 2016,
Công ty TNHH PVTrans Emas,Công ty TNHH PVTrans Emas,Công ty TNHH PVTrans Emas,Công ty liên doanh (Đã giải thế ngày 06 tháng 4 năm 2016),
