row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,Phương tiệnvận tảiVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,7.494.631.151,1.974.387.409.747,1.981.882.040.898,7494631151.0,1974387409747.0,1981882040898.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.115.770.398,-,1.115.770.398,1115770398.0,,1115770398.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(847.564.800),(847.564.800),,-847564800.0,-847564800.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,8.610.401.549,1.973.539.844.947,1.982.150.246.496,8610401549.0,1973539844947.0,1982150246496.0
GIÁ TRỊ HAO MÔN LƯỸ KẾ,GIÁ TRỊ HAO MÔN LƯỸ KẾ,GIÁ TRỊ HAO MÔN LƯỸ KẾ,GIÁ TRỊ HAO MÔN LƯỸ KẾ,GIÁ TRỊ HAO MÔN LƯỸ KẾ,GIÁ TRỊ HAO MÔN LƯỸ KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LƯỸ KẾ > Số dư đầu năm,Số dư đầu năm,(3.908.822.685),(650.630.084.325),(654.538.907.010),-3908822685.0,-650630084325.0,-654538907010.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LƯỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(1.882.779.535),(112.399.437.948),(114.282.217.483),-1882779535.0,-112399437948.0,-114282217483.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LƯỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,847.564.800,847.564.800,,847564800.0,847564800.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LƯỸ KẾ > Số dư cuối năm,Số dư cuối năm,(5.791.602.220),(762.181.957.473),(767.973.559.693),-5791602220.0,-762181957473.0,-767973559693.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.818.799.329,1.211.357.887.474,1.214.176.686.803,2818799329.0,1211357887474.0,1214176686803.0
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.585.808.466,1.323.757.325.422,1.327.343.133.888,3585808466.0,1323757325422.0,1327343133888.0
