row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Số phải nộp trong năm > VND,Số đã thực nộp trong năm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Số phải nộp trong năm > VND,numeric__Số đã thực nộp trong năm > VND,numeric__Số cuối năm > VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.153.596.211,-,-,3.153.596.211,3153596211.0,,,3153596211.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,278.829.044,50.946.603,-,227.882.441,278829044.0,50946603.0,,227882441.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.076.535.352,16.183.259.228,16.391.403.477,2.284.679.601,2076535352.0,16183259228.0,16391403477.0,2284679601.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.076.535.352,16.183.259.228,16.183.259.228,2.076.535.352,2076535352.0,16183259228.0,16183259228.0,2076535352.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,-,-,208.144.249,208.144.249,,,208144249.0,208144249.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,136.685.414,847.240.053,1.243.470.619,532.915.980,136685414.0,847240053.0,1243470619.0,532915980.0
,,,5.645.646.021,17.081.445.884,17.634.874.096,6.199.074.233,5645646021.0,17081445884.0,17634874096.0,6199074233.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,619.059.931.275,9.690.780.999.704,9.684.238.244.950,625.602.686.029,619059931275.0,9690780999704.0,9684238244950.0,625602686029.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,619.059.931.262,5.641.804.513.240,5.635.261.758.486,625.602.686.016,619059931262.0,5641804513240.0,5635261758486.0,625602686016.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,13,4.048.976.486.464,4.048.976.486.464,13,13.0,4048976486464.0,4048976486464.0,13.0
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,54.915.650.931,54.915.650.931,-,,54915650931.0,54915650931.0,
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,586.085.496.439,6.284.957.207.902,6.220.845.829.544,650.196.874.797,586085496439.0,6284957207902.0,6220845829544.0,650196874797.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,138.997.620.343,1.049.745.846.170,886.536.010.557,302.207.455.956,138997620343.0,1049745846170.0,886536010557.0,302207455956.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.718.068.729,114.146.367.289,117.312.748.270,9.551.687.748,12718068729.0,114146367289.0,117312748270.0,9551687748.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,42.621.012,10.600.750.420,10.643.371.432,-,42621012.0,10600750420.0,10643371432.0,
- Thuế TNDN nộp thay nhà thầu,b. Các khoản phải trả > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,42.621.012,10.600.750.420,10.643.371.432,-,42621012.0,10600750420.0,10643371432.0,
Tiền thuê đất,b. Các khoản phải trả > Tiền thuê đất,Tiền thuê đất,-,572.567.430,32.195.862,540.371.568,,572567430.0,32195862.0,540371568.0
Thuế bảo vệ môi trường,b. Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,39.445.512.300,195.442.663.880,209.235.611.180,25.652.565.000,39445512300.0,195442663880.0,209235611180.0,25652565000.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,1.665.171.649,1.665.171.649,-,,1665171649.0,1665171649.0,
,,,1.396.349.250.098,17.402.827.225.375,17.185.424.834.375,1.613.751.641.098,1396349250098.0,17402827225375.0,17185424834375.0,1613751641098.0
