row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn (i),Vay ngắn hạn (i),Vay ngắn hạn (i),6.882.000.000.000,6.882.000.000.000,95.396.377.675.905,92.435.212.992.657,9.843.164.683.248,9.843.164.683.248,6882000000000.0,6882000000000.0,95396377675905.0,92435212992657.0,9843164683248.0,9843164683248.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,-,-,24.215.593.651.273,19.200.593.651.273,5.015.000.000.000,5.015.000.000.000,,,24215593651273.0,19200593651273.0,5015000000000.0,5015000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,2.000.000.000.000,2.000.000.000.000,31.418.784.024.632,31.698.619.341.384,1.720.164.683.248,1.720.164.683.248,2000000000000.0,2000000000000.0,31418784024632.0,31698619341384.0,1720164683248.0,1720164683248.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,2.910.000.000.000,2.910.000.000.000,29.800.000.000.000,31.310.000.000.000,1.400.000.000.000,1.400.000.000.000,2910000000000.0,2910000000000.0,29800000000000.0,31310000000000.0,1400000000000.0,1400000000000.0
Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,-,-,1.492.000.000.000,697.000.000.000,795.000.000.000,795.000.000.000,,,1492000000000.0,697000000000.0,795000000000.0,795000000000.0
Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,700.000.000.000,700.000.000.000,6.640.000.000.000,6.670.000.000.000,670.000.000.000,670.000.000.000,700000000000.0,700000000000.0,6640000000000.0,6670000000000.0,670000000000.0,670000000000.0
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,1.250.000.000.000,1.250.000.000.000,243.000.000.000,1.250.000.000.000,243.000.000.000,243.000.000.000,1250000000000.0,1250000000000.0,243000000000.0,1250000000000.0,243000000000.0,243000000000.0
Ngân hàng CitiBank - Chi nhánh Hà Nội,Ngân hàng CitiBank - Chi nhánh Hà Nội,Ngân hàng CitiBank - Chi nhánh Hà Nội,-,-,1.570.000.000.000,1.570.000.000.000,-,-,,,1570000000000.0,1570000000000.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,22.000.000.000,22.000.000.000,17.000.000.000,39.000.000.000,-,-,22000000000.0,22000000000.0,17000000000.0,39000000000.0,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,2.072.405.974.915,974.698.760.000,29.462.547.800,974.698.760.000,1.127.169.762.715,-,2072405974915.0,974698760000.0,29462547800.0,974698760000.0,1127169762715.0,
Công ty Cổ phần Lộc hóa đầu Bình Sơn (ii),Công ty Cổ phần Lộc hóa đầu Bình Sơn (ii),Công ty Cổ phần Lộc hóa đầu Bình Sơn (ii),974.698.760.000,974.698.760.000,-,974.698.760.000,-,-,974698760000.0,974698760000.0,,974698760000.0,,
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (iii),Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (iii),Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung (iii),1.097.707.214.915,(*),29.462.547.800,-,1.127.169.762.715,(*),1097707214915.0,,29462547800.0,,1127169762715.0,
,,,8.954.405.974.915,7.856.698.760.000,95.425.840.223.705,93.409.911.752.657,10.970.334.445.963,9.843.164.683.248,8954405974915.0,7856698760000.0,95425840223705.0,93409911752657.0,10970334445963.0,9843164683248.0
