row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Novel Energy Trading Pte Ltd.,a. Các khoản phải trả người bán ngắn hạn > Novel Energy Trading Pte Ltd.,Novel Energy Trading Pte Ltd.,2.029.287.334.325,2.029.287.334.325,-,-,2029287334325.0,2029287334325.0,,
Công ty Liên doanhđiều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanhđiều hành Cửu Long,Công ty Liên doanhđiều hành Cửu Long,1.214.427.432.270,1.214.427.432.270,1.883.840.970.478,1.883.840.970.478,1214427432270.0,1214427432270.0,1883840970478.0,1883840970478.0
Công ty Điều hành chungHoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chungHoàng Long,Công ty Điều hành chungHoàng Long,1.050.987.900.855,1.050.987.900.855,507.041.790.209,507.041.790.209,1050987900855.0,1050987900855.0,507041790209.0,507041790209.0
Công ty TNHH Dầu khíViệt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty TNHH Dầu khíViệt Nhật,Công ty TNHH Dầu khíViệt Nhật,844.776.948.044,844.776.948.044,-,-,844776948044.0,844776948044.0,,
BCP Trading Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > BCP Trading Pte. Ltd.,BCP Trading Pte. Ltd.,602.312.809.408,602.312.809.408,-,-,602312809408.0,602312809408.0,,
SOCAR Trading Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > SOCAR Trading Singapore Pte. Ltd.,SOCAR Trading Singapore Pte. Ltd.,-,-,4.614.980.523.717,4.614.980.523.717,,,4614980523717.0,4614980523717.0
Gunvor Singapore Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Gunvor Singapore Pte. Ltd.,Gunvor Singapore Pte. Ltd.,-,-,2.146.259.652.741,2.146.259.652.741,,,2146259652741.0,2146259652741.0
Vietsea Company Pte. Ltd.,a. Các khoản phải trả người bán ngắn hạn > Vietsea Company Pte. Ltd.,Vietsea Company Pte. Ltd.,-,-,830.026.300.223,830.026.300.223,,,830026300223.0,830026300223.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,1.282.490.486.542,1.282.490.486.542,651.832.497.715,651.832.497.715,1282490486542.0,1282490486542.0,651832497715.0,651832497715.0
b. Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minhsố 35),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minhsố 35),b. Phải trả người bán là các bên liên quan(Chi tiết tại Thuyết minhsố 35),7.591.805.839.201,7.591.805.839.201,4.201.772.718.938,4.201.772.718.938,7591805839201.0,7591805839201.0,4201772718938.0,4201772718938.0
,,,14.616.088.750.645,14.616.088.750.645,14.835.754.454.021,14.835.754.454.021,14616088750645.0,14616088750645.0,14835754454021.0,14835754454021.0
