row_label_raw,row_label_full,"Lợi nhuận trong năm phân bố cho các cổ đông sở hữu cổ phiếu phổ thông (VND) > Trừ: Số tiền trích Quỹ khen thưởng, phúc lợi (VND)",Năm nay > 8.649.771.483.353 > 1.248.919.726,Năm trước(Trình bày lại) > 14.725.833.852.993 > 337.360.020.200,numeric__Năm nay > 8.649.771.483.353 > 1.248.919.726,numeric__Năm trước(Trình bày lại) > 14.725.833.852.993 > 337.360.020.200
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),8.648.522.563.627,14.388.473.832.793,8648522563627.0,14388473832793.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),3.100.499.616,3.100.499.616,3100499616.0,3100499616.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),2.789,4.641,2789.0,4641.0
