row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,2.440.434.975,106.709.914,6.562.173.821.168,(5.912.133.946),37.563.804.992.111,31004996160000.0,2440434975.0,106709914.0,6562173821168.0,-5912133946.0,37563804992111.0
Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,-,-,-,14.725.833.852.993,(56.497.063.914),14.669.336.789.079,,,,14725833852993.0,-56497063914.0,14669336789079.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2021",-,-,-,(108.830.174.021),(399.879.371),(109.230.053.392),,,,-108830174021.0,-399879371.0,-109230053392.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2022",-,-,-,(1.165.658.410),(234.341.528),(1.399.999.938),,,,-1165658410.0,-234341528.0,-1399999938.0
Trích Quỹ Đầu tư Phát triển,Trích Quỹ Đầu tư Phát triển,Trích Quỹ Đầu tư Phát triển,-,5.596.320.305.105,-,(5.596.320.305.105),-,-,,5596320305105.0,,-5596320305105.0,,
Chia cổ tức năm 2021,Chia cổ tức năm 2021,Chia cổ tức năm 2021,-,-,-,(930.149.884.800),(2.014.971.000),(932.164.855.800),,,,-930149884800.0,-2014971000.0,-932164855800.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,5.598.760.740.080,106.709.914,14.651.541.651.825,(65.058.389.759),51.190.346.872.060,31004996160000.0,5598760740080.0,106709914.0,14651541651825.0,-65058389759.0,51190346872060.0
Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,-,-,-,8.649.771.483.353,(57.192.511.342),8.592.578.972.011,,,,8649771483353.0,-57192511342.0,8592578972011.0
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2022 (*),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2022 (*),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2022 (*),-,-,-,(336.194.361.790),(529.144.333),(336.723.506.123),,,,-336194361790.0,-529144333.0,-336723506123.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2023",-,-,-,(1.248.919.726),(251.080.274),(1.500.000.000),,,,-1248919726.0,-251080274.0,-1500000000.0
Trích Quỹ Đầu tư Phát triển (*),Trích Quỹ Đầu tư Phát triển (*),Trích Quỹ Đầu tư Phát triển (*),-,4.450.872.238.509,-,(4.450.872.238.509),-,-,,4450872238509.0,,-4450872238509.0,,
Chia cổ tức năm 2022 (*),Chia cổ tức năm 2022 (*),Chia cổ tức năm 2022 (*),-,-,-,(2.170.349.731.200),(1.528.093.000),(2.171.877.824.200),,,,-2170349731200.0,-1528093000.0,-2171877824200.0
Khác,Khác,Khác,-,(1.665.200.000),-,(2.463.567.372),-,(4.128.767.372),,-1665200000.0,,-2463567372.0,,-4128767372.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,31.004.996.160.000,10.047.967.778.589,106.709.914,16.340.184.316.581,(124.559.218.708),57.268.695.746.376,31004996160000.0,10047967778589.0,106709914.0,16340184316581.0,-124559218708.0,57268695746376.0
