row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.949.725.749.197,39.424.812.063.157,201.148.026.137,568.572.301.835,406.645.128.413,47.550.903.268.739,6949725749197.0,39424812063157.0,201148026137.0,568572301835.0,406645128413.0,47550903268739.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,85.552.678.153,14.918.332.118,16.094.158.932,186.000.000,116.751.169.203,,85552678153.0,14918332118.0,16094158932.0,186000000.0,116751169203.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,2.553.100.378,15.456.500.000,-,-,-,18.009.600.378,2553100378.0,15456500000.0,,,,18009600378.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(2.654.000.000),2.654.000.000,-,-,-,,-2654000000.0,2654000000.0,,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.787.183.636),-,-,(7.787.183.636),,,-7787183636.0,,,-7787183636.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.952.278.849.575,39.523.167.241.310,210.933.174.619,584.666.460.767,406.831.128.413,47.677.876.854.684,6952278849575.0,39523167241310.0,210933174619.0,584666460767.0,406831128413.0,47677876854684.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.535.440.574.252,25.348.841.431.728,149.017.026.858,486.925.490.097,145.518.895.303,29.665.743.418.238,3535440574252.0,25348841431728.0,149017026858.0,486925490097.0,145518895303.0,29665743418238.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,217.987.671.389,1.911.933.662.612,11.743.253.029,34.858.673.152,16.265.319.794,2.192.788.579.976,217987671389.0,1911933662612.0,11743253029.0,34858673152.0,16265319794.0,2192788579976.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,-,66.260.316,-,66.260.316,,,,66260316.0,,66260316.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(2.495.100.000),2.495.100.000,-,-,-,,-2495100000.0,2495100000.0,,,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(7.627.763.945),-,-,(7.627.763.945),,,-7627763945.0,,,-7627763945.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.753.428.245.641,27.258.279.994.340,155.627.615.942,521.850.423.565,161.784.215.097,31.850.970.494.585,3753428245641.0,27258279994340.0,155627615942.0,521850423565.0,161784215097.0,31850970494585.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.414.285.174.945,14.075.970.631.429,52.130.999.279,81.646.811.738,261.126.233.110,17.885.159.850.501,3414285174945.0,14075970631429.0,52130999279.0,81646811738.0,261126233110.0,17885159850501.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.198.850.603.934,12.264.887.246.970,55.305.558.677,62.816.037.202,245.046.913.316,15.826.906.360.099,3198850603934.0,12264887246970.0,55305558677.0,62816037202.0,245046913316.0,15826906360099.0
