row_label_raw,row_label_full,Chỉ tiêu,Sản phẩm lọc hóa đầu,Nhiên liệu sinh học,Sản xuất bao bì và thương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩm lọc hóa đầu,numeric__Nhiên liệu sinh học,numeric__Sản xuất bao bì và thương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,167.054.762.206.990,6.256.712.127,819.324.211.238,(756.630.344.331),167.123.712.786.024,167054762206990.0,6256712127.0,819324211238.0,-756630344331.0,167123712786024.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,152.321.189.388.915,78.135.065.487,808.725.823.800,(756.999.711.043),152.451.050.567.159,152321189388915.0,78135065487.0,808725823800.0,-756999711043.0,152451050567159.0
- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,150.890.770.221.298,76.308.271.769,786.290.808.977,(726.061.904.624),151.027.307.397.420,150890770221298.0,76308271769.0,786290808977.0,-726061904624.0,151027307397420.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,914.030.757.052,-,4.266.354.163,(9.316.379.798),908.980.731.417,914030757052.0,,4266354163.0,-9316379798.0,908980731417.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,516.388.410.565,1.826.793.718,18.168.660.660,(21.621.426.621),514.762.438.322,516388410565.0,1826793718.0,18168660660.0,-21621426621.0,514762438322.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,14.733.572.818.075,(71.878.353.360),10.598.387.438,369.366.712,14.672.662.218.865,14733572818075.0,-71878353360.0,10598387438.0,369366712.0,14672662218865.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,1.750.275.299.515,,,,,1750275299515.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,923.195.487.108,,,,,923195487108.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,86.066.115.846,,,,,86066115846.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,15.585.808.147.118,,,,,15585808147118.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,890.394.134.163,,,,,890394134163.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,26.077.223.876,,,,,26077223876.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,14.669.336.789.079,,,,,14669336789079.0
