row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu VND,Phần mềm máy tính triệu VND,TSCĐ vô hình khác triệu VND,Tổng cộng triệu VND,numeric__Quyền sử dụng đất triệu VND,numeric__Phần mềm máy tính triệu VND,numeric__TSCĐ vô hình khác triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.629.594,169.383,35.054,3.834.031,3629594.0,169383.0,35054.0,3834031.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.195,-,4.195,,4195.0,,4195.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.629.594,173.578,35.054,3.838.226,3629594.0,173578.0,35054.0,3838226.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.332,95.163,13.151,113.646,5332.0,95163.0,13151.0,113646.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,157,26.296,3.455,29.908,157.0,26296.0,3455.0,29908.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.489,121.459,16.606,143.554,5489.0,121459.0,16606.0,143554.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,3.624.262,74.220,21.903,3.720.385,3624262.0,74220.0,21903.0,3720385.0
Tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,3.624.105,52.119,18.448,3.694.672,3624105.0,52119.0,18448.0,3694672.0
