row_label_raw,row_label_full,col_0,Số dưđầu năm,Phát sinh trong năm > Phát sinhtăng,Phát sinh trong năm > Phát sinhgiảm,Số dưcuối năm,numeric__Số dưđầu năm,numeric__Phát sinh trong năm > Phát sinhtăng,numeric__Phát sinh trong năm > Phát sinhgiảm,numeric__Số dưcuối năm
Thuế GTGT,Thuế GTGT,Thuế GTGT,1.121,20.127,(20.065),1.183,1121.0,20127.0,-20065.0,1183.0
Thuế TNDN phải nộp năm 2015,Thuế TNDN phải nộp năm 2015,Thuế TNDN phải nộp năm 2015,65.876,221.641,(223.821),63.696,65876.0,221641.0,-223821.0,63696.0
Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,Tạm ứng nộp thuế TNDN,(130),-,130,-,-130.0,,130.0,
Thuế TNDN hoãn lại phải trả củachi nhánh Campuchia,Thuế TNDN hoãn lại phải trả củachi nhánh Campuchia,Thuế TNDN hoãn lại phải trả củachi nhánh Campuchia,461,-,(461),-,461.0,,-461.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,35.012,78.399,(99.356),14.055,35012.0,78399.0,-99356.0,14055.0
,,,102.340,320.167,(343.573),78.934,102340.0,320167.0,-343573.0,78934.0
