row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,8.865.795,101.716,(5.260),13,483.157,210.974,774.126,10.430.521,8865795.0,101716.0,-5260.0,13.0,483157.0,210974.0,774126.0,10430521.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,794.644,794.644,,,,,,,794644.0,794644.0
Thuế giữ lại của Campuchia,Thuế giữ lại của Campuchia,Thuế giữ lại của Campuchia,-,-,-,-,-,-,(6.276),(6.276),,,,,,,-6276.0,-6276.0
Thuế giữ lại của Lào,Thuế giữ lại của Lào,Thuế giữ lại của Lào,-,-,-,-,-,-,-,-,,,,,,,,
Trích quỹ đầu tư phát triển theo Nghị Quyết năm 2014,Thuế giữ lại của Lào > Trích quỹ đầu tư phát triển theo Nghị Quyết năm 2014,Trích quỹ đầu tư phát triển theo Nghị Quyết năm 2014,-,-,-,20.000,-,-,(20.000),-,,,,20000.0,,,-20000.0,
Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2014,Thuế giữ lại của Lào > Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2014,Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2014,-,-,-,-,-,-,(15.426),(15.426),,,,,,,-15426.0,-15426.0
Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,Thuế giữ lại của Lào > Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,620.150,-,-,-,-,-,(620.150),-,620150.0,,,,,,-620150.0,
Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,Thuế giữ lại của Lào > Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,Tăng vốn từ trả cổ tức bằng cổ phiếu Chênh lệch tỷ giá,-,-,-,-,-,-,1.497,1.497,,,,,,,1497.0,1497.0
Tạm trích quỹ của Ngân hàng,Thuế giữ lại của Lào > Tạm trích quỹ của Ngân hàng,Tạm trích quỹ của Ngân hàng,-,-,-,-,71.197,38.148,(109.345),-,,,,,71197.0,38148.0,-109345.0,
Số dư cuối năm,Thuế giữ lại của Lào > Số dư cuối năm,Số dư cuối năm,9.485.945,101.716,(5.260),20.013,554.354,249.122,799.070,11.204.960,9485945.0,101716.0,-5260.0,20013.0,554354.0,249122.0,799070.0,11204960.0
