row_label_raw,row_label_full,col_0,Thuyết minh,2015 triệu VND,2014 triệu VND,numeric__Thuyết minh,numeric__2015 triệu VND,numeric__2014 triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,25,11.992.195,10.343.951,25.0,11992195.0,10343951.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,26,(8.295.940),(7.574.527),26.0,-8295940.0,-7574527.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,3.696.255,2.769.424,,3696255.0,2769424.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,139.877,384.484,,139877.0,384484.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(87.590),(80.691),,-87590.0,-80691.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,52.287,303.793,27.0,52287.0,303793.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,26.565,65.559,28.0,26565.0,65559.0
Lỗ thuần từ mua bán chứng khoán kinh doanh,Lỗ thuần từ mua bán chứng khoán kinh doanh,Lỗ thuần từ mua bán chứng khoán kinh doanh,29,-,(4.744),29.0,,-4744.0
Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,30,(69.645),(6.931),30.0,-69645.0,-6931.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,271.770,249.809,,271770.0,249809.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(108.323),(188.627),,-108323.0,-188627.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,31,163.447,61.182,31.0,163447.0,61182.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",32,7.826,3.957,32.0,7826.0,3957.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,3.876.735,3.192.240,,3876735.0,3192240.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,32,(2.018.194),(1.564.437),32.0,-2018194.0,-1564437.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,,1.858.541,1.627.803,,1858541.0,1627803.0
Chi phí dự phòng rủi ro cho trái phiếu VAMC,Chi phí dự phòng rủi ro cho trái phiếu VAMC,Chi phí dự phòng rủi ro cho trái phiếu VAMC,,(131.294),(333.039),,-131294.0,-333039.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(710.832),(287.593),,-710832.0,-287593.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,1.016.415,1.007.171,,1016415.0,1007171.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,(221.310),(219.906),,-221310.0,-219906.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,(461),(137),,-461.0,-137.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,22.1,(221.771),(220.043),221.0,-221771.0,-220043.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,794.644,787.128,,794644.0,787128.0
