row_label_raw,row_label_full,col_0,31/12/2015 triệu VND,31/12/2014 triệu VND,numeric__31/12/2015 triệu VND,numeric__31/12/2014 triệu VND
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,25.865.697,24.358.423,25865697.0,24358423.0
Tiền gửi thanh toán,Tiền gửi thanh toán,Tiền gửi thanh toán,6.498.470,5.539.538,6498470.0,5539538.0
Bằng VND,Bằng VND,Bằng VND,4.833.944,3.532.271,4833944.0,3532271.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.664.526,2.007.267,1664526.0,2007267.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,19.367.227,18.818.885,19367227.0,18818885.0
Bằng VND,Bằng VND,Bằng VND,15.405.137,18.805.137,15405137.0,18805137.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,3.962.090,13.748,3962090.0,13748.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,3.863.000,4.999.952,3863000.0,4999952.0
Bằng VND,Bằng VND,Bằng VND,3.863.000,4.745.000,3863000.0,4745000.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,-,254.952,,254952.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,(5.137),(5.137),-5137.0,-5137.0
,,,29.723.560,29.353.238,29723560.0,29353238.0
