row_label_raw,row_label_full,Đơn vị: triệu VND > Chỉ tiêu,Đơn vị: triệu VND > Nước ngoài,Đơn vị: triệu VND > Việt Nam > Miền Bắc,Đơn vị: triệu VND > Việt Nam > Miền Trung,Đơn vị: triệu VND > Việt Nam > Miền Nam,Đơn vị: triệu VND > Tổng cộng,numeric__Đơn vị: triệu VND > Nước ngoài,numeric__Đơn vị: triệu VND > Việt Nam > Miền Bắc,numeric__Đơn vị: triệu VND > Việt Nam > Miền Trung,numeric__Đơn vị: triệu VND > Việt Nam > Miền Nam,numeric__Đơn vị: triệu VND > Tổng cộng
I. Kết quả kinh doanh bộ phận,I. Kết quả kinh doanh bộ phận,I. Kết quả kinh doanh bộ phận,,,,,,,,,,
Thu nhập lãi thuần,I. Kết quả kinh doanh bộ phận > Thu nhập lãi thuần,Thu nhập lãi thuần,164.737,2.072.910,469.298,989.310,3.696.255,164737.0,2072910.0,469298.0,989310.0,3696255.0
Lãi/(lỗ) thuần từ hoạt động dịch vụ,I. Kết quả kinh doanh bộ phận > Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,(4.347),43.402,(214),13.446,52.287,-4347.0,43402.0,-214.0,13446.0,52287.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,I. Kết quả kinh doanh bộ phận > Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.156,12.830,1.185,11.394,26.565,1156.0,12830.0,1185.0,11394.0,26565.0
Lãi thuần từ mua bán chứng khoán đầu tư,I. Kết quả kinh doanh bộ phận > Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,-,(69.645),-,-,(69.645),,-69645.0,,,-69645.0
Lãi/(lỗ) thuần từ hoạt động khác,I. Kết quả kinh doanh bộ phận > Lãi/(lỗ) thuần từ hoạt động khác,Lãi/(lỗ) thuần từ hoạt động khác,36,160.169,(736),3.978,163.447,36.0,160169.0,-736.0,3978.0,163447.0
"Thu nhập từ góp vốn, mua cổ phần","I. Kết quả kinh doanh bộ phận > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",-,7.826,-,-,7.826,,7826.0,,,7826.0
Chi phí hoạt động,I. Kết quả kinh doanh bộ phận > Chi phí hoạt động,Chi phí hoạt động,(75.086),(1.436.864),(147.885),(358.359),(2.018.194),-75086.0,-1436864.0,-147885.0,-358359.0,-2018194.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,I. Kết quả kinh doanh bộ phận > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,86.496,790.628,321.648,659.769,1.858.541,86496.0,790628.0,321648.0,659769.0,1858541.0
Chi phí dự phòng rủi ro tín dụng,I. Kết quả kinh doanh bộ phận > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(28.500),(710.773),(61.110),(41.743),(842.126),-28500.0,-710773.0,-61110.0,-41743.0,-842126.0
