row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc triệu đồng",Máy móc thiết bị triệu đồng,Phương tiện vận tải triệu đồng,Thiết bị văn phòng triệu đồng,TSCĐ hữu hình khác triệu đồng,Tổng cộng triệu đồng,"numeric__Nhà cửa,vật kiến trúc triệu đồng",numeric__Máy móc thiết bị triệu đồng,numeric__Phương tiện vận tải triệu đồng,numeric__Thiết bị văn phòng triệu đồng,numeric__TSCĐ hữu hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,192.365,264.995,145.455,81.837,21.929,706.581,192365.0,264995.0,145455.0,81837.0,21929.0,706581.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,122,34,24,31,-,211,122.0,34.0,24.0,31.0,,211.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.213,21.162,17.301,4.825,4.108,57.609,10213.0,21162.0,17301.0,4825.0,4108.0,57609.0
Tăng do hoàn thànhmua sắm TSCĐ,Nguyên giá > Tăng do hoàn thànhmua sắm TSCĐ,Tăng do hoàn thànhmua sắm TSCĐ,-,-,6.149,-,-,6.149,,,6149.0,,,6149.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,(19),134,106,88,309,,-19.0,134.0,106.0,88.0,309.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(358),(3.278),(1.168),(2.088),(1.698),(8.590),-358.0,-3278.0,-1168.0,-2088.0,-1698.0,-8590.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,202.342,282.894,167.895,84.711,24.427,762.269,202342.0,282894.0,167895.0,84711.0,24427.0,762269.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,38.610,130.939,67.564,52.890,14.703,304.706,38610.0,130939.0,67564.0,52890.0,14703.0,304706.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,11.195,37.289,17.708,12.898,3.991,83.081,11195.0,37289.0,17708.0,12898.0,3991.0,83081.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,(6),-,6,141,141,,-6.0,,6.0,141.0,141.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(328),(2.509),(1.066),(1.949),(1.404),(7.256),-328.0,-2509.0,-1066.0,-1949.0,-1404.0,-7256.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,49.477,165.713,84.206,63.845,17.431,380.672,49477.0,165713.0,84206.0,63845.0,17431.0,380672.0
Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,,,,,,
Tại ngày 1 tháng 1năm 2014,Giá trị còn lại của TSCĐ > Tại ngày 1 tháng 1năm 2014,Tại ngày 1 tháng 1năm 2014,153.755,134.056,77.891,28.947,7.226,401.875,153755.0,134056.0,77891.0,28947.0,7226.0,401875.0
Tại ngày 31 tháng 12năm 2014,Giá trị còn lại của TSCĐ > Tại ngày 31 tháng 12năm 2014,Tại ngày 31 tháng 12năm 2014,152.865,117.181,83.689,20.866,6.996,381.597,152865.0,117181.0,83689.0,20866.0,6996.0,381597.0
