row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.629.594,188.914,37.169,3.855.677,3629594.0,188914.0,37169.0,3855677.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,15.396,-,15.396,,15396.0,,15396.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(34.927),(2.115),(37.042),,-34927.0,-2115.0,-37042.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.629.594,169.383,35.054,3.834.031,3629594.0,169383.0,35054.0,3834031.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.174,96.503,10.959,112.636,5174.0,96503.0,10959.0,112636.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,158,27.789,4.306,32.253,158.0,27789.0,4306.0,32253.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(29.129),(2.114),(31.243),,-29129.0,-2114.0,-31243.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.332,95.163,13.151,113.646,5332.0,95163.0,13151.0,113646.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2014,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2014,Tại ngày 1 tháng 1 năm 2014,3.624.420,92.411,26.210,3.743.041,3624420.0,92411.0,26210.0,3743041.0
Tại ngày 31 tháng 12 năm 2014,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,3.624.262,74.220,21.903,3.720.385,3624262.0,74220.0,21903.0,3720385.0
