row_label_raw,row_label_full,col_0,Kinh doanh,Giữ đến ngày đáo hạn,Cho vay và phải thu,Sẵn sàng để bán,Tài sản và nợ khác hạch toán theo giá trị phân bổ,Tổng cộng giá trị ghi sổ,Giá trị hợp lý (*),numeric__Kinh doanh,numeric__Giữ đến ngày đáo hạn,numeric__Cho vay và phải thu,numeric__Sẵn sàng để bán,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bổ,numeric__Tổng cộng giá trị ghi sổ,numeric__Giá trị hợp lý (*)
"Tiền mặt, vàng","Tiền mặt, vàng","Tiền mặt, vàng",1.917.786,-,-,-,-,1.917.786,1.917.786,1917786.0,,,,,1917786.0,1917786.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,4.362.518,-,-,-,-,4.362.518,4.362.518,4362518.0,,,,,4362518.0,4362518.0
"Tiền, vàng gửi tại và cho vay các TCTD khác","Tiền, vàng gửi tại và cho vay các TCTD khác","Tiền, vàng gửi tại và cho vay các TCTD khác",-,-,23.230.227,-,6.498.470,29.728.697,(*),,,23230227.0,,6498470.0,29728697.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,131.444.958,-,-,131.444.958,(*),,,131444958.0,,,131444958.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,7.479.883,-,7.479.883,(*),,,,7479883.0,,7479883.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,10.399.493,-,-,-,10.399.493,(*),,10399493.0,,,,10399493.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,1.926.958,2.376.391,466.107,28.319,4.797.775,(*),,1926958.0,2376391.0,466107.0,28319.0,4797775.0,
Tài sản,Tài sản,Tài sản,6.280.304,12.326.451,157.051.576,7.945.990,6.526.789,190.131.110,(*),6280304.0,12326451.0,157051576.0,7945990.0,6526789.0,190131110.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,4.224.915,4.224.915,(*),,,,,4224915.0,4224915.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,28.145.783,28.145.783,(*),,,,,28145783.0,28145783.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,148.858.082,148.858.082,(*),,,,,148858082.0,148858082.0,
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,-,-,-,-,100.011,100.011,(*),,,,,100011.0,100011.0,
"Vốn tài trợ, ủy thác đầu tư mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư mà TCTD chịu rủi ro",-,-,-,-,414.632,414.632,(*),,,,,414632.0,414632.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,8.217.648,8.217.648,(*),,,,,8217648.0,8217648.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,10.461,10.461,(*),,,,,10461.0,10461.0,
Nợ phải trả,Nợ phải trả,Nợ phải trả,-,-,-,-,189.971.532,189.971.532,(*),,,,,189971532.0,189971532.0,
