row_label_raw,row_label_full,Chứng khoán đầu tư giữ đến ngày đáo hạn,31/12/2015 triệu VND > 3.399.620,31/12/2014 triệu VND > 3.500.361,numeric__31/12/2015 triệu VND > 3.399.620,numeric__31/12/2014 triệu VND > 3.500.361
Chứng khoán nợ Chính phủ,Chứng khoán nợ Chính phủ,Chứng khoán nợ Chính phủ,1.726.735,2.806.642,1726735.0,2806642.0
Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán nợ do các TCTD khác trong nước phát hành,Chứng khoán nợ do các TCTD khác trong nước phát hành,999.866,-,999866.0,
Chứng khoán nợ do các TCKT trong nước phát hành,Chứng khoán nợ do các TCKT trong nước phát hành,Chứng khoán nợ do các TCKT trong nước phát hành,673.019,693.719,673019.0,693719.0
Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư giữ đến ngày đáo hạn,(1.050),(390),-1050.0,-390.0
,,,3.398.570,3.499.971,3398570.0,3499971.0
