row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc triệu VND",Máy móc thiết bị triệu VND,Phương tiện vận tải triệu VND,Thiết bị văn phòng triệu VND,TSCĐ hữu hình khác triệu VND,Tổng cộng triệu VND,"numeric__Nhà cửa,vật kiến trúc triệu VND",numeric__Máy móc thiết bị triệu VND,numeric__Phương tiện vận tải triệu VND,numeric__Thiết bị văn phòng triệu VND,numeric__TSCĐ hữu hình khác triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,202.342,282.894,167.895,84.711,24.427,762.269,202342.0,282894.0,167895.0,84711.0,24427.0,762269.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,639,116,85,132,-,972,639.0,116.0,85.0,132.0,,972.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.594,17.847,5.621,2.718,2.931,60.711,31594.0,17847.0,5621.0,2718.0,2931.0,60711.0
Tăng do hoàn thànhmua sắm TSCĐ,Nguyên giá > Tăng do hoàn thànhmua sắm TSCĐ,Tăng do hoàn thànhmua sắm TSCĐ,146,5.978,-,63,-,6.187,146.0,5978.0,,63.0,,6187.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(166),(27.107),(2.215),(1.271),(2.110),(32.869),-166.0,-27107.0,-2215.0,-1271.0,-2110.0,-32869.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,234.555,279.728,171.386,86.353,25.248,797.270,234555.0,279728.0,171386.0,86353.0,25248.0,797270.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,49.477,165.713,84.206,63.845,17.431,380.672,49477.0,165713.0,84206.0,63845.0,17431.0,380672.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,141,58,37,72,-,308,141.0,58.0,37.0,72.0,,308.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,17.037,38.812,19.091,10.702,2.347,87.989,17037.0,38812.0,19091.0,10702.0,2347.0,87989.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(95),(26.525),(2.098),(1.272),(2.018),(32.008),-95.0,-26525.0,-2098.0,-1272.0,-2018.0,-32008.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,66.560,178.058,101.236,73.347,17.760,436.961,66560.0,178058.0,101236.0,73347.0,17760.0,436961.0
Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,,,,,,
Tại ngày 1 tháng 1năm 2015,Giá trị còn lại của TSCĐ > Tại ngày 1 tháng 1năm 2015,Tại ngày 1 tháng 1năm 2015,152.865,117.181,83.689,20.866,6.996,381.597,152865.0,117181.0,83689.0,20866.0,6996.0,381597.0
Tại ngày 31 tháng 12năm 2015,Giá trị còn lại của TSCĐ > Tại ngày 31 tháng 12năm 2015,Tại ngày 31 tháng 12năm 2015,167.995,101.670,70.150,13.006,7.488,360.309,167995.0,101670.0,70150.0,13006.0,7488.0,360309.0
