row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,1.917.786,-,-,-,-,-,-,1.917.786,,1917786.0,,,,,,,1917786.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,4.362.518,-,-,-,-,-,-,4.362.518,,4362518.0,,,,,,,4362518.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),5.137,-,22.957.060,5.673.500,1.093.000,-,-,-,29.728.697,5137.0,,22957060.0,5673500.0,1093000.0,,,,29728697.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.186.759,-,40.726.989,66.695.375,14.226.782,2.086.569,3.293.484,229.000,131.444.958,4186759.0,,40726989.0,66695375.0,14226782.0,2086569.0,3293484.0,229000.0,131444958.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,7.047.986,200.428,1.392.520,831.835,1.369.300,4.500.344,2.536.963,17.879.376,,7047986.0,200428.0,1392520.0,831835.0,1369300.0,4500344.0,2536963.0,17879376.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,466.107,-,-,-,-,-,-,466.107,,466107.0,,,,,,,466107.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,4.054.981,-,-,-,-,-,-,4.054.981,,4054981.0,,,,,,,4054981.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),1.048.584,15.675.909,-,-,-,-,-,-,16.724.493,1048584.0,15675909.0,,,,,,,16724493.0
