row_label_raw,row_label_full,col_0,Dự phòng cụ thể triệu VND,Dự phòng chung triệu VND,Tổng công triệu VND,numeric__Dự phòng cụ thể triệu VND,numeric__Dự phòng chung triệu VND,numeric__Tổng công triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,527,3.328,3.855,527.0,3328.0,3855.0
Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,5.887,2.993,8.880,5887.0,2993.0,8880.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.414,6.321,12.735,6414.0,6321.0,12735.0
