row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 10 năm 2020,Số dư tại ngày 1 tháng 10 năm 2020,Số dư tại ngày 1 tháng 10 năm 2020,4.446.252.130.000,151.583.183.521,(3.271.000.000),35.535.781.824,2.394.497.079.753,7.024.597.175.098,4446252130000.0,151583183521.0,-3271000000.0,35535781824.0,2394497079753.0,7024597175098.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,,4.375.801.849.593,4.375.801.849.593,,,,,4375801849593.0,4375801849593.0
Cổ phiếu phát hành đề trả cổ tức (i),Cổ phiếu phát hành đề trả cổ tức (i),Cổ phiếu phát hành đề trả cổ tức (i),444.566.830.000,-,-,-,(444.566.830.000),-,444566830000.0,,,,-444566830000.0,
Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,5.709.355.547,3.271.000.000,-,-,8.980.355.547,,5709355547.0,3271000000.0,,,8980355547.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),44.000.000.000,-,-,-,-,44.000.000.000,44000000000.0,,,,,44000000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(46.120.560.692),(46.120.560.692),,,,,-46120560692.0,-46120560692.0
Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh,Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh,Trích thưởng hoàn thành vượt kế hoạch sản xuất kinh doanh,-,-,-,-,(39.134.000.000),(39.134.000.000),,,,,-39134000000.0,-39134000000.0
Phân bổ vào quỹ (iii),Phân bổ vào quỹ (iii),Phân bổ vào quỹ (iii),-,-,-,104.632.701.681,(104.632.701.681),-,,,,104632701681.0,-104632701681.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(49.473.282.240),-,(49.473.282.240),,,,-49473282240.0,,-49473282240.0
Số dư tại ngày 1 tháng 10 năm 2021,Số dư tại ngày 1 tháng 10 năm 2021,Số dư tại ngày 1 tháng 10 năm 2021,4.934.818.960.000,157.292.539.068,-,90.695.201.265,6.135.844.836.973,11.318.651.537.306,4934818960000.0,157292539068.0,,90695201265.0,6135844836973.0,11318651537306.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,48.170.557.444,48.170.557.444,,,,,48170557444.0,48170557444.0
Cổ phiếu phát hành đề trả cổ tức (i),Cổ phiếu phát hành đề trả cổ tức (i),Cổ phiếu phát hành đề trả cổ tức (i),996.722.900.000,-,-,-,(996.722.900.000),-,996722900000.0,,,,-996722900000.0,
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (ii),49.008.000.000,-,-,-,-,49.008.000.000,49008000000.0,,,,,49008000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(172.540.289.352),(172.540.289.352),,,,,-172540289352.0,-172540289352.0
Phân bổ vào quỹ (iii),Phân bổ vào quỹ (iii),Phân bổ vào quỹ (iii),-,-,-,172.965.686.783,(172.965.686.783),-,,,,172965686783.0,-172965686783.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,(76.161.878.172),-,(76.161.878.172),,,,-76161878172.0,,-76161878172.0
Số dư tại ngày 30 tháng 9 năm 2022,Số dư tại ngày 30 tháng 9 năm 2022,Số dư tại ngày 30 tháng 9 năm 2022,5.980.549.860.000,157.292.539.068,-,187.499.009.876,4.841.786.518.282,11.167.127.927.226,5980549860000.0,157292539068.0,,187499009876.0,4841786518282.0,11167127927226.0
