row_label_raw,row_label_full,Chi phí vận chuyển,615.505.112,127.061.336,numeric__615.505.112,numeric__127.061.336
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,
Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,,
Ông Lê Phước Vũ – Chủ tịch,Thù lao > Ông Lê Phước Vũ – Chủ tịch,Ông Lê Phước Vũ – Chủ tịch,360.000.000,360.000.000,360000000.0,360000000.0
Ông Trần Ngọc Chu – Phó Chủ tịch,Thù lao > Ông Trần Ngọc Chu – Phó Chủ tịch,Ông Trần Ngọc Chu – Phó Chủ tịch,300.000.000,300.000.000,300000000.0,300000000.0
Ông Trần Quốc Trí – Thành viên,Thù lao > Ông Trần Quốc Trí – Thành viên,Ông Trần Quốc Trí – Thành viên,240.000.000,240.000.000,240000000.0,240000000.0
Ông Lý Văn Xuân – Thành viên,Thù lao > Ông Lý Văn Xuân – Thành viên,Ông Lý Văn Xuân – Thành viên,300.000.000,290.000.000,300000000.0,290000000.0
Ông Nguyễn Văn Luân – Thành viên,Thù lao > Ông Nguyễn Văn Luân – Thành viên,Ông Nguyễn Văn Luân – Thành viên,360.000.000,340.000.000,360000000.0,340000000.0
Ông Đình Việt Duy – Thành viên,Thù lao > Ông Đình Việt Duy – Thành viên,Ông Đình Việt Duy – Thành viên,300.000.000,290.000.000,300000000.0,290000000.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,
"Lương, thường và các khoản trợ cấp","Tổng Giám đốc > Lương, thường và các khoản trợ cấp","Lương, thường và các khoản trợ cấp",2.706.721.532,1.967.900.022,2706721532.0,1967900022.0
Các thành viên khác của Ban Tổng Giám đốc,Các thành viên khác của Ban Tổng Giám đốc,Các thành viên khác của Ban Tổng Giám đốc,Các thành viên khác của Ban Tổng Giám đốc,Các thành viên khác của Ban Tổng Giám đốc,,
"Lương, thường và các khoản trợ cấp","Các thành viên khác của Ban Tổng Giám đốc > Lương, thường và các khoản trợ cấp","Lương, thường và các khoản trợ cấp",16.587.416.081,34.209.331.101,16587416081.0,34209331101.0
