row_label_raw,row_label_full,Bán hàng hóa và thành phẩm,3.092.150.468.293,2.005.614.625.990,numeric__3.092.150.468.293,numeric__2.005.614.625.990
Bán tài sản cố định,Bán tài sản cố định,Bán tài sản cố định,836.100.000,278.700.000,836100000.0,278700000.0
Bán khác,Bán khác,Bán khác,108.548.139,-,108548139.0,
Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,-,12.281.818,,12281818.0
Cho thuê tài sản,Cho thuê tài sản,Cho thuê tài sản,3.426.751.992,3.426.751.992,3426751992.0,3426751992.0
Cung cấp dịch vụ gia công,Cung cấp dịch vụ gia công,Cung cấp dịch vụ gia công,7.004.452,94.664.218,7004452.0,94664218.0
Cung cấp dịch vụ vận chuyển,Cung cấp dịch vụ vận chuyển,Cung cấp dịch vụ vận chuyển,5.624.030,6.777.318,5624030.0,6777318.0
Mua dịch vụ vận chuyển,Mua dịch vụ vận chuyển,Mua dịch vụ vận chuyển,54.223.963.947,57.513.075.054,54223963947.0,57513075054.0
Mua dịch vụ gia công,Mua dịch vụ gia công,Mua dịch vụ gia công,-,1.300.909,,1300909.0
Chi phí thuê tài sản,Chi phí thuê tài sản,Chi phí thuê tài sản,11.691.820.663,10.271.374.544,11691820663.0,10271374544.0
Chiết khấu thương mại,Chiết khấu thương mại,Chiết khấu thương mại,40.668.612.691,13.007.397.387,40668612691.0,13007397387.0
Giảm giá hàng bán,Giảm giá hàng bán,Giảm giá hàng bán,54.727.273,-,54727273.0,
Hàng bán bị trả lại,Hàng bán bị trả lại,Hàng bán bị trả lại,4.211.655.248,7.185.669.645,4211655248.0,7185669645.0
Mua dịch vụ khác,Mua dịch vụ khác,Mua dịch vụ khác,-,2.727.273,,2727273.0
Thu nhập lãi chậm thanh toán,Thu nhập lãi chậm thanh toán,Thu nhập lãi chậm thanh toán,733.063,2.490.522.129,733063.0,2490522129.0
Thu nhập từ tiền lãi,Thu nhập từ tiền lãi,Thu nhập từ tiền lãi,-,50.630.137,,50630137.0
