row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,484.476.100.366,2.585.435.473.028,296.648.614.944,76.375.572.729,20.737.819.422,3.463.673.580.489,484476100366.0,2585435473028.0,296648614944.0,76375572729.0,20737819422.0,3463673580489.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.434.436.378,32.679.454.486,6.202.340.000,-,-,40.316.230.864,1434436378.0,32679454486.0,6202340000.0,,,40316230864.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,291.657.091.262,3.975.143.966,23.347.005.222,-,1.472.949.719,320.452.190.169,291657091262.0,3975143966.0,23347005222.0,,1472949719.0,320452190169.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.354.196.948),(19.708.303.856),(5.981.500.000),-,-,(28.044.000.804),-2354196948.0,-19708303856.0,-5981500000.0,,,-28044000804.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(555.068.634),(1.535.798.041),-,-,-,(2.090.866.675),-555068634.0,-1535798041.0,,,,-2090866675.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,774.658.362.424,2.600.845.969.583,320.216.460.166,76.375.572.729,22.210.769.141,3.794.307.134.043,774658362424.0,2600845969583.0,320216460166.0,76375572729.0,22210769141.0,3794307134043.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,300.463.557.227,1.954.884.467.890,206.789.739.878,45.738.228.100,19.626.884.780,2.527.502.877.875,300463557227.0,1954884467890.0,206789739878.0,45738228100.0,19626884780.0,2527502877875.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.661.007.272,205.023.730.512,35.043.380.516,9.280.876.749,2.156.509.454,275.165.504.503,23661007272.0,205023730512.0,35043380516.0,9280876749.0,2156509454.0,275165504503.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.354.196.948),(12.689.229.983),(5.735.707.551),-,-,(20.779.134.482),-2354196948.0,-12689229983.0,-5735707551.0,,,-20779134482.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(555.068.634),(1.535.798.041),-,-,-,(2.090.866.675),-555068634.0,-1535798041.0,,,,-2090866675.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,321.215.298.917,2.145.683.170.378,236.097.412.843,55.019.104.849,21.783.394.234,2.779.798.381.221,321215298917.0,2145683170378.0,236097412843.0,55019104849.0,21783394234.0,2779798381221.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,184.012.543.139,630.551.005.138,89.858.875.066,30.637.344.629,1.110.934.642,936.170.702.614,184012543139.0,630551005138.0,89858875066.0,30637344629.0,1110934642.0,936170702614.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,453.443.063.507,455.162.799.205,84.119.047.323,21.356.467.880,427.374.907,1.014.508.752.822,453443063507.0,455162799205.0,84119047323.0,21356467880.0,427374907.0,1014508752822.0
