row_label_raw,row_label_full,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_1,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_2,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_3,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_4,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_5,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_6,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_1,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_2,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_3,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_4,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_5,numeric__Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:_6
,,,Bên cho vay,Loại tiền,Hạn mức,Lãi suất,Lãi suất,Tài sản đảm bảo,,,,,,
,,,Bên cho vay,Loại tiền,Hạn mức,30/9/2022,1/10/2021,Tài sản đảm bảo,,,,,,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,VND USD,4.000 tỷ VND,"3,86% - 4,10%","3,50%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị, các khoản phải thu",,,,,0.035,
ii.,ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,VND USD,2.400 tỷ VND,"4,50% - 5,0%","3,50%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho, nhà cửa, vật kiến trúc, các khoản phải thu",,,,,0.035,
iii.,iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,VND,1.500 tỷ VND,-,"3,50% - 3,80%","Hàng tồn kho, máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, một công ty con",,,,,,
iv.,iii. > iv.,iv.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,60 triệu USD,"4,30% - 5,0%","3,35%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất và một số tài sản cố định của Công ty TNHH Một Thành Viên Hoa Sen Bình Định, một công ty con",,,,,0.0335,
v.,iii. > v.,v.,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,VND,6 triệu USD,-,"3,30%",Không có tài sản đảm bảo,,,,,0.033,
vi.,iii. > vi.,vi.,Ngân hàng TNHH MTV UOB Việt Nam,VND USD,23 triệu USD,"4,30% - 5,20%","3,00%",Hàng tồn kho,,,,,0.03,
vii.,vii.,vii.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,VND USD,"6,6 triệu USD",-,"3,20% - 3,30%",Hàng tồn kho,,,,,,
viii.,vii. > viii.,viii.,Ngân hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,VND,500 tỷ VND,-,"3,90%",Không có tài sản đảm bảo,,,,,0.039,
