row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2022VND,30/9/2021VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,15.154.201.068.619,15.613.730.729.165,15154201068619.0,15613730729165.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,16.849.446.476.866,15.866.720.483.372,16849446476866.0,15866720483372.0
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,461.604.000,-,461604000.0,
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,55.113.744.672,120.808.132.718,55113744672.0,120808132718.0
Chi hộ,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Chi hộ,Chi hộ,145.872.876.921,156.947.487.796,145872876921.0,156947487796.0
Bán khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán khác,Bán khác,734.960.549,3.725.953,734960549.0,3725953.0
Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen),Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen),Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen),Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen),Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen),,
Bán hàng hóa và thành phẩm,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,2.949.538.487.764,3.313.980.084.464,2949538487764.0,3313980084464.0
Mua hàng hóa và thành phẩm,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,2.667.095.069.278,2.850.430.034.029,2667095069278.0,2850430034029.0
Bán tài sản cố định,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Bán tài sản cố định,Bán tài sản cố định,596.981.403,-,596981403.0,
Mua tài sản cố định,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Mua tài sản cố định,Mua tài sản cố định,-,87.770.891,,87770891.0
Cho thuê tài sản,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Cho thuê tài sản,Cho thuê tài sản,132.000.000,469.580.644,132000000.0,469580644.0
Thuê tài sản,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Thuê tài sản,Thuê tài sản,1.667.888.665,1.645.321.674,1667888665.0,1645321674.0
Hàng bán bị trả lại,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Hàng bán bị trả lại,Hàng bán bị trả lại,1.506.534.607,1.270.533.793,1506534607.0,1270533793.0
Lợi nhuận được chia,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Lợi nhuận được chia,Lợi nhuận được chia,-,248.393.361.872,,248393361872.0
Bán khác,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Bán khác,Bán khác,1.171.818,1.590.334,1171818.0,1590334.0
Trả lại hàng mua/hàng mua được giảm giá,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Trả lại hàng mua/hàng mua được giảm giá,Trả lại hàng mua/hàng mua được giảm giá,317.064.314,56.469.898,317064314.0,56469898.0
Cung cấp dịch vụ vận chuyển,Công ty Cổ phần Nhựa Hoa Sen (trước đây là Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen) > Cung cấp dịch vụ vận chuyển,Cung cấp dịch vụ vận chuyển,55.330.646,49.359.856,55330646.0,49359856.0
Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Bình Định,,
