row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_7,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_6,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_7
,,,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,Nợ xấu và nợ khó đòi,,,,,,,,
,,,Số ngàyquá hạn,30/9/2022,30/9/2022,30/9/2022,Số ngàyquá hạn,1/10/2021,1/10/2021,1/10/2021,,,,,,,,
,,,Số ngàyquá hạn,Giá gốcVND,Dự phòngVND,Giá trịcó thể thu hồiVND,Số ngàyquá hạn,Giá gốcVND,Dự phòngVND,Giá trịcó thể thu hồiVND,,,,,,,,
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
Công ty Cổ Phần Tư VănThương Maji Xây dựngMê Kông,Nợ quá hạn > Công ty Cổ Phần Tư VănThương Maji Xây dựngMê Kông,Công ty Cổ Phần Tư VănThương Maji Xây dựngMê Kông,Trên 4 năm,1.648.743.436,(1.648.743.436),-,Từ 3 – 4 năm,1.648.743.436,(1.648.743.436),-,,1648743436.0,-1648743436.0,,,1648743436.0,-1648743436.0,
Công ty TNHH Hải ThủyCông ty TNHH Thép,Nợ quá hạn > Công ty TNHH Hải ThủyCông ty TNHH Thép,Công ty TNHH Hải ThủyCông ty TNHH Thép,Trên 6 năm,1.545.000.625,(1.545.000.625),-,Trên 5 năm,1.545.000.625,(1.545.000.625),-,,1545000625.0,-1545000625.0,,,1545000625.0,-1545000625.0,
Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Nợ quá hạn > Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Trên 3 năm,1.243.508.106,(1.243.508.106),-,Từ 2 – 3 năm,1.243.508.106,(1.243.508.106),-,,1243508106.0,-1243508106.0,,,1243508106.0,-1243508106.0,
Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Nợ quá hạn > Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Trên 6 năm,1.023.359.294,(1.023.359.294),-,Trên 5 năm,1.023.359.294,(1.023.359.294),-,,1023359294.0,-1023359294.0,,,1023359294.0,-1023359294.0,
Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Nợ quá hạn > Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Xây dựng Hiệp LoanDoanh nghiệp tư nhânHoàng Thái,Từ 2 đếntrên 5 năm,8.246.557.128,(8.246.557.128),-,Từ 2 đếntrên 5 năm,8.270.673.128,(8.270.673.128),-,,8246557128.0,-8246557128.0,,,8270673128.0,-8270673128.0,
,,,,13.707.168.589,(13.707.168.589),-,,13.731.284.589,(13.731.284.589),-,,13707168589.0,-13707168589.0,,,13731284589.0,-13731284589.0,
