row_label_raw,row_label_full,col_0,Khối lượng giao dịch thực hiện trong năm (đơn vị),Giá trị giao dịch thực hiện trong năm (VND),numeric__Khối lượng giao dịch thực hiện trong năm (đơn vị),numeric__Giá trị giao dịch thực hiện trong năm (VND)
a. Của Công ty- Cổ phiếu- Trái phiếu- Chứng khoán khác,a. Của Công ty- Cổ phiếu- Trái phiếu- Chứng khoán khác,a. Của Công ty- Cổ phiếu- Trái phiếu- Chứng khoán khác,3.271.696.7101.576.980.8701.671.496.31623.219.524,450.355.424.548.98255.155.646.838.266273.706.063.052.799121.493.714.657.917,3.2716967101576983e+37,4.503554245489825e+58
b. Của nhà đầu tư- Cổ phiếu- Trái phiếu- Chứng khoán khác,b. Của nhà đầu tư- Cổ phiếu- Trái phiếu- Chứng khoán khác,b. Của nhà đầu tư- Cổ phiếu- Trái phiếu- Chứng khoán khác,60.308.551.41257.114.483.289801.625.0192.392.443.104,2.637.068.065.095.4991.577.579.393.581.01090.702.503.376.629968.786.168.137.860,6.030855141257114e+40,2.637068065095499e+60
Tổng cộng,Tổng cộng,Tổng cộng,63.580.248.122,3.087.423.489.644.481,63580248122.0,3087423489644481.0
