row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu(chỉ phi),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu(chỉ phi)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Ngày 01 tháng 01năm 2025,Tăng trong năm,Giảm trong năm,Ngày 31 tháng 12năm 2025,Doanh thu(chỉ phi),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tưDoanh thu phí giao dịchchứng khoán,404.000.000.000,-,-,404.000.000.000,-,,404000000000.0,,,404000000000.0,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tưDoanh thu phí giao dịchchứng khoán,-,110.219.435,(110.219.435),-,110.219.435,,,110219435.0,-110219435.0,,110219435.0
Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Góp vốn đầu tưLãi thanh lý công ty liên kết,10.000.000.000,-,(10.000.000.000),-,-,,10000000000.0,,-10000000000.0,,
Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Quỹ đầu tư Công nghệ sốvà Y tế Việt Nam,Góp vốn đầu tưLãi thanh lý công ty liên kết,-,1.090.648.916,(1.090.648.916),-,1.090.648.916,,,1090648916.0,-1090648916.0,,1090648916.0
Công ty Cổ phầnCông Nghệ số SSI,Công ty liên quan > Công ty Cổ phầnCông Nghệ số SSI,Công ty Cổ phầnCông Nghệ số SSI,Thanh toán Hợp đồng triển khai phần mềm,-,6.144.408.258,(6.144.408.258),-,6.144.408.258,,,6144408258.0,-6144408258.0,,6144408258.0
Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM),Góp vốn đầu tưDoanh thu giao dịch và dịch vụ chứng khoán khácSố dư danh mục ủy thácđầu tưPhí quản lý danh mụcPhí thưởng danh mục ủy thácvà các khoản khác,75.000.000.000,-,-,75.000.000.000,-,,75000000000.0,,,75000000000.0,
Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM),Góp vốn đầu tưDoanh thu giao dịch và dịch vụ chứng khoán khácSố dư danh mục ủy thácđầu tưPhí quản lý danh mụcPhí thưởng danh mục ủy thácvà các khoản khác,141.402.354,5.568.205.369,(5.539.050.542),170.557.181,4.934.206.143,,141402354.0,5568205369.0,-5539050542.0,170557181.0,4934206143.0
Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM),Góp vốn đầu tưDoanh thu giao dịch và dịch vụ chứng khoán khácSố dư danh mục ủy thácđầu tưPhí quản lý danh mụcPhí thưởng danh mục ủy thácvà các khoản khác,550.073.578.007(2.680.493.735),5.553.089.639.532(10.346.901.689),(5.835.084.514.469)11.059.201.203,268.078.703.070(1.968.194.221),-,,,,,,
Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM) > Công ty TNHHQuản lý Quỹ SSI (SSIAM),Công ty TNHHQuản lý Quỹ SSI (SSIAM),Góp vốn đầu tưDoanh thu giao dịch và dịch vụ chứng khoán khácSố dư danh mục ủy thácđầu tưPhí quản lý danh mụcPhí thưởng danh mục ủy thácvà các khoản khác,-,(48.272.027.148),1.404.088.082,(46.867.939.066),(48.124.593.162),,,-48272027148.0,1404088082.0,-46867939066.0,-48124593162.0
Công ty TNHHĐầu tư NDH,Công ty TNHHQuản lý Quỹ SSI (SSIAM) > Công ty TNHHĐầu tư NDH,Công ty TNHHĐầu tư NDH,Doanh thu giao dịch vàdịch vụ chứng khoán khácCổ tức SSGiao dịch mua chứng khoánvà chứng chỉ tiền gửiGiao dịch bán chứng khoánvà chứng chỉ tiền gửi,-,1.269.023.889(164.263.488.000),(1.269.023.889)164.263.488.000,-,1.269.023.889,,,,,,1269023889.0
Công ty TNHHĐầu tư NDH,Công ty TNHHQuản lý Quỹ SSI (SSIAM) > Công ty TNHHĐầu tư NDH,Công ty TNHHĐầu tư NDH,Doanh thu giao dịch vàdịch vụ chứng khoán khácCổ tức SSGiao dịch mua chứng khoánvà chứng chỉ tiền gửiGiao dịch bán chứng khoánvà chứng chỉ tiền gửi,-,(7.064.289.064.500),7.064.289.064.500,-,-,,,-7064289064500.0,7064289064500.0,,
Công ty TNHHĐầu tư NDH,Công ty TNHHQuản lý Quỹ SSI (SSIAM) > Công ty TNHHĐầu tư NDH,Công ty TNHHĐầu tư NDH,Doanh thu giao dịch vàdịch vụ chứng khoán khácCổ tức SSGiao dịch mua chứng khoánvà chứng chỉ tiền gửiGiao dịch bán chứng khoánvà chứng chỉ tiền gửi,-,5.545.706.530.000,(5.545.706.530.000),-,3.291.480.601,,,5545706530000.0,-5545706530000.0,,3291480601.0
