row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2024 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2025 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2024 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2025 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2024 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2025 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2024 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2025 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,18.291.394.836.235,20.713.065.094.108,5.381.907.145.000,(2.960.236.887.127),3.356.525.367.200,(615.266.704),20.713.065.094.108,24.068.975.194.604,,18291394836235.0,20713065094108.0,5381907145000.0,-2960236887127.0,3356525367200.0,-615266704.0,20713065094108.0,24068975194604.0
1.1.Cổ phiếu phổ thông,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.1.Cổ phiếu phổ thông,1.1.Cổ phiếu phổ thông,,15.011.301.370.000,19.638.639.180.000,4.627.337.810.000,-,1.140.423.440.000,-,19.638.639.180.000,20.779.062.620.000,,15011301370000.0,19638639180000.0,4627337810000.0,,1140423440000.0,,19638639180000.0,20779062620000.0
1.2.Thắng dư vốn cổ phần,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.2.Thắng dư vốn cổ phần,1.2.Thắng dư vốn cổ phần,,3.299.208.472.644,1.093.540.920.517,754.569.335.000,(2.960.236.887.127),2.216.101.927.200,(615.266.704),1.093.540.920.517,3.309.027.581.013,,3299208472644.0,1093540920517.0,754569335000.0,-2960236887127.0,2216101927200.0,-615266704.0,1093540920517.0,3309027581013.0
1.3.Cổ phiếu quỹ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.3.Cổ phiếu quỹ,1.3.Cổ phiếu quỹ,,(19.115.006.409),(19.115.006.409),-,-,-,-,(19.115.006.409),(19.115.006.409),,-19115006409.0,-19115006409.0,,,,,-19115006409.0,-19115006409.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,58.252.419.507,-,-,(58.252.419.507),-,-,-,-,,58252419507.0,,,-58252419507.0,,,,
3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,3. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,(3.793.033.106),(3.793.033.106),-,-,17.829.742.932,-,(3.793.033.106),14.036.709.826,,-3793033106.0,-3793033106.0,,,17829742932.0,,-3793033106.0,14036709826.0
4. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4. Lợi nhuận chưa phân phối,4. Lợi nhuận chưa phân phối,,4.238.605.402.631,5.258.000.051.729,3.339.817.953.038,(2.320.423.303.940),4.606.845.048.684,(2.893.854.012.684),5.258.000.051.729,6.970.991.087.729,,4238605402631.0,5258000051729.0,3339817953038.0,-2320423303940.0,4606845048684.0,-2893854012684.0,5258000051729.0,6970991087729.0
4.1.Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4.1.Lợi nhuận đã thực hiện,4.1.Lợi nhuận đã thực hiện,,4.308.154.387.375,5.438.665.355.480,2.794.759.775.438,(1.664.248.807.333),3.844.240.462.203,(2.209.175.878.647),5.438.665.355.480,7.073.729.939.036,,4308154387375.0,5438665355480.0,2794759775438.0,-1664248807333.0,3844240462203.0,-2209175878647.0,5438665355480.0,7073729939036.0
4.2.Lợi nhuận/(lỗ) chưa thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4.2.Lợi nhuận/(lỗ) chưa thực hiện,4.2.Lợi nhuận/(lỗ) chưa thực hiện,,(69.548.984.744),(180.665.303.751),545.058.177.600,(656.174.496.607),762.604.586.481,(684.678.134.037),(180.665.303.751),(102.738.851.307),,-69548984744.0,-180665303751.0,545058177600.0,-656174496607.0,762604586481.0,-684678134037.0,-180665303751.0,-102738851307.0
TỔNG CỘNG,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,28,22.584.459.625.267,25.967.272.112.731,8.721.725.098.038,(5.338.912.610.574),7.981.200.158.816,(2.894.469.279.388),25.967.272.112.731,31.054.002.992.159,28.0,22584459625267.0,25967272112731.0,8721725098038.0,-5338912610574.0,7981200158816.0,-2894469279388.0,25967272112731.0,31054002992159.0
