row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 01 tháng 01 năm 2025,Nguyên giá > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,367.130.841.305,38.329.798.127,3.018.137.639,408.478.777.071,367130841305.0,38329798127.0,3018137639.0,408478777071.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.052.214.120,1.614.450.000,-,7.666.664.120,6052214120.0,1614450000.0,,7666664120.0
Mua mới,Nguyên giá > Mua mới,Mua mới,6.052.214.120,1.614.450.000,-,7.666.664.120,6052214120.0,1614450000.0,,7666664120.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(10.841.819.772),(3.264.375.636),(146.150.840),(14.252.346.248),-10841819772.0,-3264375636.0,-146150840.0,-14252346248.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.841.819.772),(3.264.375.636),(146.150.840),(14.252.346.248),-10841819772.0,-3264375636.0,-146150840.0,-14252346248.0
Ngày 31 tháng 12 năm 2025,Nguyên giá > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,362.341.235.653,36.679.872.491,2.871.986.799,401.893.094.943,362341235653.0,36679872491.0,2871986799.0,401893094943.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 01 tháng 01 năm 2025,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,266.865.967.339,18.826.408.336,2.620.375.889,288.312.751.564,266865967339.0,18826408336.0,2620375889.0,288312751564.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,42.922.202.547,3.697.829.701,375.957.425,46.995.989.673,42922202547.0,3697829701.0,375957425.0,46995989673.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,42.922.202.547,3.697.829.701,375.957.425,46.995.989.673,42922202547.0,3697829701.0,375957425.0,46995989673.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(10.649.897.387),(2.583.053.413),(146.150.840),(13.379.101.640),-10649897387.0,-2583053413.0,-146150840.0,-13379101640.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.649.897.387),(2.583.053.413),(146.150.840),(13.379.101.640),-10649897387.0,-2583053413.0,-146150840.0,-13379101640.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,299.138.272.499,19.941.184.624,2.850.182.474,321.929.639.597,299138272499.0,19941184624.0,2850182474.0,321929639597.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 01 tháng 01 năm 2025,Giá trị còn lại > Ngày 01 tháng 01 năm 2025,Ngày 01 tháng 01 năm 2025,100.264.873.966,19.503.389.791,397.761.750,120.166.025.507,100264873966.0,19503389791.0,397761750.0,120166025507.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,63.202.963.154,16.738.687.867,21.804.325,79.963.455.346,63202963154.0,16738687867.0,21804325.0,79963455346.0
