row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,19.638.639.180.000,1.093.540.920.517,(19.115.006.409),(3.793.033.106),5.258.000.051.729,25.967.272.112.731,19638639180000.0,1093540920517.0,-19115006409.0,-3793033106.0,5258000051729.0,25967272112731.0
Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo NQ số 01/2024/NQ-ĐHĐCD ngày 25/04/2024,Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo NQ số 01/2024/NQ-ĐHĐCD ngày 25/04/2024,Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động theo NQ số 01/2024/NQ-ĐHĐCD ngày 25/04/2024,100.000.000.000,-,-,-,-,100.000.000.000,100000000000.0,,,,,100000000000.0
"Phát hành cổ phiếu chào bán riêng lẻ theo NQ số 02/2022/NQ-ĐHĐCD ngày 07/05/2022, NQ số 01/2023/NQ-ĐHĐCD ngày 25/04/2023, NQ số 01/2024/NQ- ĐHĐCD ngày 25/04/2024 và NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025","Phát hành cổ phiếu chào bán riêng lẻ theo NQ số 02/2022/NQ-ĐHĐCD ngày 07/05/2022, NQ số 01/2023/NQ-ĐHĐCD ngày 25/04/2023, NQ số 01/2024/NQ- ĐHĐCD ngày 25/04/2024 và NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025","Phát hành cổ phiếu chào bán riêng lẻ theo NQ số 02/2022/NQ-ĐHĐCD ngày 07/05/2022, NQ số 01/2023/NQ-ĐHĐCD ngày 25/04/2023, NQ số 01/2024/NQ- ĐHĐCD ngày 25/04/2024 và NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025",1.040.423.440.000,2.216.101.927.200,-,-,-,3.256.525.367.200,1040423440000.0,2216101927200.0,,,,3256525367200.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,3.917.405.223.647,3.917.405.223.647,,,,,3917405223647.0,3917405223647.0
Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(615.266.704),-,-,-,(615.266.704),,-615266704.0,,,,-615266704.0
Trích cổ tức SSI 2024 cho cổ đông SSI theo NQ số 31/2025/NQ-HĐQT ngày 11/09/2025,Trích cổ tức SSI 2024 cho cổ đông SSI theo NQ số 31/2025/NQ-HĐQT ngày 11/09/2025,Trích cổ tức SSI 2024 cho cổ đông SSI theo NQ số 31/2025/NQ-HĐQT ngày 11/09/2025,-,-,-,-,(2.075.914.794.000),(2.075.914.794.000),,,,,-2075914794000.0,-2075914794000.0
"Trích lập quỹ phúc lợi (1% LNST), quỹ khen thưởng (4% LNST) theo NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025","Trích lập quỹ phúc lợi (1% LNST), quỹ khen thưởng (4% LNST) theo NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025","Trích lập quỹ phúc lợi (1% LNST), quỹ khen thưởng (4% LNST) theo NQ số 01/2025/NQ-ĐHĐCD ngày 18/04/2025",-,-,-,-,(130.801.751.312),(130.801.751.312),,,,,-130801751312.0,-130801751312.0
Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,-,-,-,17.829.742.932,-,17.829.742.932,,,,17829742932.0,,17829742932.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,2.302.357.665,2.302.357.665,,,,,2302357665.0,2302357665.0
Số cuối năm,Số cuối năm,Số cuối năm,20.779.062.620.000,3.309.027.581.013,(19.115.006.409),14.036.709.826,6.970.991.087.729,31.054.002.992.159,20779062620000.0,3309027581013.0,-19115006409.0,14036709826.0,6970991087729.0,31054002992159.0
