row_label_raw,row_label_full,"Phải trả Sở Giao dịch Chứng khoán,Tổng công ty Lưu ký và Bù trừ chứng khoán Việt Nam",Số cuối năm > 47.778.256.836,Đơn vị tính: VND > Số đầu năm > 26.172.361.106,numeric__Số cuối năm > 47.778.256.836,numeric__Đơn vị tính: VND > Số đầu năm > 26.172.361.106
Phải trả chứng quyền (đang lưu hành) (*),Phải trả chứng quyền (đang lưu hành) (*),Phải trả chứng quyền (đang lưu hành) (*),279.853.864.000,201.711.273.000,279853864000.0,201711273000.0
Tổng cộng,Tổng cộng,Tổng cộng,327.632.120.836,227.883.634.106,327632120836.0,227883634106.0
