row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Ngày 01 tháng 01 năm 2025,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giảm trong năm,Phải thu/(phải trả) > Ngày 31 tháng 12 năm 2025,Đơn vị tính: VND > Doanh thu/ (chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Ngày 01 tháng 01 năm 2025,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giảm trong năm,numeric__Phải thu/(phải trả) > Ngày 31 tháng 12 năm 2025,numeric__Đơn vị tính: VND > Doanh thu/ (chi phí)
Công ty TNHH,Công ty TNHH,Công ty TNHH,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,68.946.364,(68.946.364),-,68.946.364,,,68946364.0,-68946364.0,,68946364.0
Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Cổ tức SSI,-,(76.571.387.000),76.571.387.000,-,-,,,-76571387000.0,76571387000.0,,
Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Đặt cọc thuê văn phòng Chi phí thuê văn phòng và các dịch vụ khác,691.524.000,-,-,691.524.000,-,,691524000.0,,,691524000.0,
Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Bắt động sản Sài Gòn Đan Linh,Đặt cọc thuê văn phòng Chi phí thuê văn phòng và các dịch vụ khác,(31.266.963),(3.468.402.830),3.466.949.406,(32.720.387),(3.468.402.830),,-31266963.0,-3468402830.0,3466949406.0,-32720387.0,-3468402830.0
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan",Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.584.680.093,(1.584.680.093),-,1.584.606.927,,,1584680093.0,-1584680093.0,,1584606927.0
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và các cá nhân liên quan",Cổ tức SSI,-,(47.701.386.000),47.701.386.000,-,-,,,-47701386000.0,47701386000.0,,
