row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
"Cổ phiếu và chứng khoán niêm yết,đăng ký giao dịch UPCoM khác","Cổ phiếu và chứng khoán niêm yết,đăng ký giao dịch UPCoM khác","Cổ phiếu và chứng khoán niêm yết,đăng ký giao dịch UPCoM khác",178.228.161.335,177.978.134.077,1.368.632.430.067,1.362.727.463.664,178228161335.0,177978134077.0,1368632430067.0,1362727463664.0
HPG,HPG,HPG,24.086.013.907,23.527.706.400,49.303.194.457,48.783.651.150,24086013907.0,23527706400.0,49303194457.0,48783651150.0
FPT,FPT,FPT,19.828.752.020,19.495.491.600,53.253.124.050,56.449.857.500,19828752020.0,19495491600.0,53253124050.0,56449857500.0
VPB,VPB,VPB,14.786.004.663,14.714.668.650,824.439.412.840,810.610.982.400,14786004663.0,14714668650.0,824439412840.0,810610982400.0
ACB,ACB,ACB,13.260.284.164,12.832.848.000,47.931.693.545,49.126.373.400,13260284164.0,12832848000.0,47931693545.0,49126373400.0
VNM,VNM,VNM,6.071.390.352,5.997.661.200,17.816.784.823,17.498.907.200,6071390352.0,5997661200.0,17816784823.0,17498907200.0
Cổ phiếu và chứng khoán khác,Cổ phiếu và chứng khoán khác,Cổ phiếu và chứng khoán khác,100.195.716.229,101.409.758.227,375.888.220.352,380.257.692.014,100195716229.0,101409758227.0,375888220352.0,380257692014.0
Cổ phiếu niêm yết cho hoạt độngphòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt độngphòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt độngphòng ngừa rủi ro của chứng quyền,1.134.246.866.577,1.128.730.522.550,968.809.795.708,994.496.681.450,1134246866577.0,1128730522550.0,968809795708.0,994496681450.0
HPG,HPG,HPG,221.498.621.763,216.364.341.600,119.676.905.690,118.415.783.850,221498621763.0,216364341600.0,119676905690.0,118415783850.0
ACB,ACB,ACB,193.698.399.023,187.454.664.000,17.430.503.112,17.864.952.000,193698399023.0,187454664000.0,17430503112.0,17864952000.0
FPT,FPT,FPT,136.446.001.811,134.152.763.600,342.455.410.919,363.012.677.500,136446001811.0,134152763600.0,342455410919.0,363012677500.0
MSN,MSN,MSN,129.075.605.897,124.592.930.000,7.415.349.903,7.265.300.000,129075605897.0,124592930000.0,7415349903.0,7265300000.0
MWG,MWG,MWG,82.636.574.904,88.523.671.600,187.397.571.637,187.605.500.000,82636574904.0,88523671600.0,187397571637.0,187605500000.0
Cổ phiếu khác,Cổ phiếu khác,Cổ phiếu khác,370.891.663.179,377.642.151.750,294.434.054.447,300.332.468.100,370891663179.0,377642151750.0,294434054447.0,300332468100.0
Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,Cổ phiếu và chứng chỉ quỹ (CCQ) chưa niêm yết,46.347.144.913,27.169.894.402,69.344.160.610,49.487.282.681,46347144913.0,27169894402.0,69344160610.0,49487282681.0
Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),Trái phiếu niêm yết (1),4.525.050.372.870,4.409.855.712.501,6.129.049.191.192,5.932.922.821.241,4525050372870.0,4409855712501.0,6129049191192.0,5932922821241.0
Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),8.682.505.831.443,8.682.505.831.443,9.016.312.175.799,9.016.312.175.799,8682505831443.0,8682505831443.0,9016312175799.0,9016312175799.0
Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),23.207.805.874.113,23.207.805.874.113,24.731.712.227.048,24.731.712.227.048,23207805874113.0,23207805874113.0,24731712227048.0,24731712227048.0
Tổng cộng,Tổng cộng,Tổng cộng,37.774.184.251.251,37.634.045.969.086,42.283.859.980.424,42.087.658.651.883,37774184251251.0,37634045969086.0,42283859980424.0,42087658651883.0
