row_label_raw,row_label_full,Năm 2025,Môi giới và dịch vụ khách hàng > Năm 2025,Tự doanh > Năm 2025,Kinh doanh nguồn vốn > Năm 2025,Ngân hàng đầu tư và các bộ phận khác > Năm 2025,Đơn vị tính: VND Tổng cộng > Năm 2025,numeric__Môi giới và dịch vụ khách hàng > Năm 2025,numeric__Tự doanh > Năm 2025,numeric__Kinh doanh nguồn vốn > Năm 2025,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2025,numeric__Đơn vị tính: VND Tổng cộng > Năm 2025
1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),1. Doanh thu thuần hoạt động kinh doanh chứng khoán (1),6.002.589.197.659,6.084.454.626.644,605.559.273.856,57.707.694.551,12.750.310.792.710,6002589197659.0,6084454626644.0,605559273856.0,57707694551.0,12750310792710.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.800.056.041.376,4.458.908.292.599,356.035.458.272,47.210.663.229,7.662.210.455.476,2800056041376.0,4458908292599.0,356035458272.0,47210663229.0,7662210455476.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,190.122.974.491,9.833.946.956,20.149.275.932,9.123.335.404,229.229.532.783,190122974491.0,9833946956.0,20149275932.0,9123335404.0,229229532783.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,3.012.410.181.792,1.615.712.387.089,229.374.539.652,1.373.695.918,4.858.870.804.451,3012410181792.0,1615712387089.0,229374539652.0,1373695918.0,4858870804451.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2025 > 1. Tài sản bộ phận,1. Tài sản bộ phận,38.981.684.726.689,40.889.173.498.676,8.696.082.448.973,9.957.716.848,88.576.898.391.186,38981684726689.0,40889173498676.0,8696082448973.0,9957716848.0,88576898391186.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 2. Tài sản phân bổ,2. Tài sản phân bổ,663.302.689.661,34.308.759.810,70.296.969.401,31.829.572.038,799.737.990.910,663302689661.0,34308759810.0,70296969401.0,31829572038.0,799737990910.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,,,,,3.598.595.029.717,,,,,3598595029717.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2025 > Tổng tài sản,Tổng tài sản,39.644.987.416.350,40.923.482.258.486,8.766.379.418.374,41.787.288.886,92.975.231.411.813,39644987416350.0,40923482258486.0,8766379418374.0,41787288886.0,92975231411813.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2025 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,27.162.819.304.977,27.977.255.769.365,5.538.186.167.182,1.430.000.000,60.679.691.241.524,27162819304977.0,27977255769365.0,5538186167182.0,1430000000.0,60679691241524.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 5. Nợ phân bổ,5. Nợ phân bổ,439.455.918.557,22.730.478.546,46.573.637.860,21.087.949.793,529.847.984.756,439455918557.0,22730478546.0,46573637860.0,21087949793.0,529847984756.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2025 > 6. Nợ không phân bổ,6. Nợ không phân bổ,,,,,711.689.193.374,,,,,711689193374.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2025 > Tổng công nợ,Tổng công nợ,27.602.275.223.534,27.999.986.247.911,5.584.759.805.042,22.517.949.793,61.921.228.419.654,27602275223534.0,27999986247911.0,5584759805042.0,22517949793.0,61921228419654.0
