row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2025,Quá hạn(bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2025,Không ký hạn > Ngày 31 tháng 12 năm 2025,Đến 01 năm > Ngày 31 tháng 12 năm 2025,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2025,Trên 05 năm > Ngày 31 tháng 12 năm 2025,Tổng cộng > Ngày 31 tháng 12 năm 2025,numeric__Quá hạn(bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2025,numeric__Không ký hạn > Ngày 31 tháng 12 năm 2025,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2025,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2025,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2025,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2025
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,1.079.287.449.059,2.440.114.017.279,-,-,3.519.401.466.338,,1079287449059.0,2440114017279.0,,,3519401466338.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,36.107.689,38.431.166.687.158,43.822.983.745.864,-,3.843.489.225.749,86.097.675.766.460,36107689.0,38431166687158.0,43822983745864.0,,3843489225749.0,86097675766460.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,37.634.045.969.086,-,-,-,37.634.045.969.086,,37634045969086.0,,,,37634045969086.0
Giữ đến ngày đáo hạn,TÀI SẢN > Giữ đến ngày đáo hạn,Giữ đến ngày đáo hạn,-,-,5.206.787.836.907,-,2.971.910.059.220,8.178.697.896.127,,,5206787836907.0,,2971910059220.0,8178697896127.0
Các khoản cho vay (không bao gồm dự phòng),TÀI SẢN > Các khoản cho vay (không bao gồm dự phòng),Các khoản cho vay (không bao gồm dự phòng),36.107.689,323.827.320.425,38.616.195.908.957,-,-,38.940.059.337.071,36107689.0,323827320425.0,38616195908957.0,,,38940059337071.0
Sẵn sàng để bán,TÀI SẢN > Sẵn sàng để bán,Sẵn sàng để bán,-,473.293.397.647,-,-,-,473.293.397.647,,473293397647.0,,,,473293397647.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,-,-,-,-,871.579.166.529,871.579.166.529,,,,,871579166529.0,871579166529.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,191.500.518.920,460.456.198.203,552.116.545.650,656.356.021.271,-,1.860.429.284.044,191500518920.0,460456198203.0,552116545650.0,656356021271.0,,1860429284044.0
"Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cảm cố, ký quỹ, ký cược","Các khoản cảm cố, ký quỹ, ký cược",-,29.968.074.446,-,-,-,29.968.074.446,,29968074446.0,,,,29968074446.0
